Year,Water_level
Jan-80,2.543
Feb-80,2.545
Mar-80,2.842
Apr-80,2.91
May-80,2.715
Jun-80,2.395
Jul-80,2.183
Aug-80,1.993
Sep-80,1.96
Oct-80,1.92
Nov-80,2.025
Dec-80,2.12
Jan-81,2.423
Feb-81,2.593
Mar-81,2.397
Apr-81,2.79
May-81,2.693
Jun-81,1.893
Jul-81,2.24
Aug-81,1.986
Sep-81,1.85
Oct-81,1.928
Nov-81,2.035
Dec-81,2.393
Jan-82,2.568
Feb-82,2.703
Mar-82,2.926
Apr-82,3.05
May-82,3.013
Jun-82,2.82
Jul-82,2.41
Aug-82,2.095
Sep-82,2
Oct-82,2.077
Nov-82,2.288
Dec-82,2.425
Jan-83,2.63
Feb-83,2.81
Mar-83,2.875
Apr-83,2.873
May-83,2.583
Jun-83,2.38
Jul-83,2.188
Aug-83,1.864
Sep-83,1.755
Oct-83,1.665
Nov-83,2.013
Dec-83,2.233
Jan-84,2.42
Feb-84,2.605
Mar-84,2.755
Apr-84,2.95
May-84,2.855
Jun-84,2.45
Jul-84,2.344
Aug-84,2.158
Sep-84,2.063
Oct-84,2.05
Nov-84,2.26
Dec-84,2.353
Jan-85,2.578
Feb-85,2.69
Mar-85,2.803
Apr-85,2.792
May-85,2.73
Jun-85,2.418
Jul-85,2.178
Aug-85,2.093
Sep-85,2.037
Oct-85,2.037
Nov-85,2.28
Dec-85,2.434
Jan-86,2.653
Feb-86,2.825
Mar-86,3.034
Apr-86,3.17
May-86,3.09
Jun-86,3.34
Jul-86,2.853
Aug-86,2.653
Sep-86,2.674
Oct-86,2.275
Nov-86,2.263
Dec-86,2.388
Jan-87,2.56
Feb-87,2.673
Mar-87,2.813
Apr-87,2.887
May-87,2.795
Jun-87,2.635
Jul-87,2.363
Aug-87,1.99
Sep-87,1.947
Oct-87,1.9
Nov-87,2.158
Dec-87,2.375
Jan-88,2.523
Feb-88,2.653
Mar-88,2.813
Apr-88,2.968
May-88,2.838
Jun-88,2.567
Jul-88,2.155
Aug-88,1.864
Sep-88,1.718
Oct-88,1.765
Nov-88,2.013
Dec-88,2.157
Jan-89,2.586
Feb-89,2.808
Mar-89,2.928
Apr-89,3.1
May-89,2.943
Jun-89,2.738
Jul-89,2.368
Aug-89,1.933
Sep-89,1.95
Oct-89,2.033
Nov-89,2.258
Dec-89,2.493
Jan-90,2.866
Feb-90,3.297
Mar-90,3.248
Apr-90,2.983
May-90,2.717
Jun-90,2.365
Jul-90,2.147
Aug-90,2.2
Sep-90,2.27
Oct-90,2.33
Nov-90,2.37
Dec-90,2.473
Jan-91,2.573
Feb-91,2.678
Mar-91,2.873
Apr-91,3.02
May-91,2.063
Jun-91,2.07
Jul-91,1.995
Aug-91,2.143
Sep-91,2.31
Oct-91,2.18
Nov-91,1.915
Dec-91,2.397
Jan-92,3.038
Feb-92,2.95
Mar-92,2.975
Apr-92,2.68
May-92,2.69
Jun-92,2.503
Jul-92,2.337
Aug-92,2.154
Sep-92,2.253
Oct-92,2.28
Nov-92,2.26
Dec-92,2.375
Jan-93,2.357
Feb-93,2.46
Mar-93,2.573
Apr-93,2.27
May-93,1.81
Jun-93,1.285
Jul-93,0.87
Aug-93,0.75
Sep-93,1.413
Oct-93,1.303
Nov-93,1.387
Dec-93,1.61
Jan-94,3.805
Feb-94,3.823
Mar-94,3.79
Apr-94,3.58
May-94,3.328
Jun-94,3.148
Jul-94,2.778
Aug-94,2.523
Sep-94,2.435
Oct-94,2.53
Nov-94,2.635
Dec-94,2.76
Jan-95,3.222
Feb-95,3.47
Mar-95,3.207
Apr-95,2.918
May-95,2.715
Jun-95,2.67
Jul-95,2.44
Aug-95,2.35
Sep-95,2.263
Oct-95,2.403
Nov-95,2.565
Dec-95,2.68
Jan-96,2.855
Feb-96,2.99
Mar-96,3.138
Apr-96,3.295
May-96,3.135
Jun-96,3.06
Jul-96,2.765
Aug-96,2.47
Sep-96,2.443
Oct-96,2.418
Nov-96,2.57
Dec-96,2.693
Jan-97,2.838
Feb-97,2.94
Mar-97,3.042
Apr-97,3.06
May-97,2.97
Jun-97,2.825
Jul-97,2.465
Aug-97,2.14
Sep-97,2.063
Oct-97,2.355
Nov-97,2.518
Dec-97,2.71
Jan-98,3.043
Feb-98,3.133
Mar-98,3.283
Apr-98,3.445
May-98,3.465
Jun-98,3.255
Jul-98,2.87
Aug-98,2.52
Sep-98,2.375
Oct-98,2.34
Nov-98,2.518
Dec-98,2.727
Jan-99,2.874
Feb-99,3.023
Mar-99,3.09
Apr-99,3.155
May-99,2.84
Jun-99,2.538
Jul-99,2.33
Aug-99,2.235
Sep-99,2.107
Oct-99,2.078
Nov-99,2.43
Dec-99,2.68
Jan-00,3.145
Feb-00,3.03
Mar-00,3.127
Apr-00,3.173
May-00,3.13
Jun-00,2.8
Jul-00,2.508
Aug-00,2.355
Sep-00,2.347
Oct-00,2.345
Nov-00,2.425
Dec-00,2.633
1-Jan,2.938
1-Feb,3.258
1-Mar,3.46
1-Apr,3.314
1-May,3.043
1-Jun,2.75
1-Jul,2.466
1-Aug,2.163
1-Sep,2.303
1-Oct,2.453
1-Nov,2.537
1-Dec,2.7
2-Jan,2.835
2-Feb,2.997
2-Mar,3.082
2-Apr,3.13
2-May,2.96
2-Jun,2.726
2-Jul,2.397
2-Aug,2.297
2-Sep,2.27
2-Oct,2.33
2-Nov,2.443
2-Dec,2.658
3-Jan,2.787
3-Feb,2.9
3-Mar,3.143
3-Apr,3.1
3-May,2.895
3-Jun,2.678
3-Jul,2.428
3-Aug,2.273
3-Sep,2.19
3-Oct,2.35
3-Nov,2.515
3-Dec,2.715
4-Jan,3.156
4-Feb,3.427
4-Mar,3.325
4-Apr,3.16
4-May,2.81
4-Jun,2.513
4-Jul,2.563
4-Aug,2.337
4-Sep,2.44
4-Oct,2.475
4-Nov,2.568
4-Dec,2.693
5-Jan,3.007
5-Feb,3.13
5-Mar,3.19
5-Apr,3.33
5-May,3.287
5-Jun,3.175
5-Jul,2.56
5-Aug,2.443
5-Sep,2.443
5-Oct,2.418
5-Nov,2.735
5-Dec,2.89
6-Jan,3.17
6-Feb,3.24
6-Mar,2.88
6-Apr,3.463
6-May,3.305
6-Jun,3.115
6-Jul,2.663
6-Aug,2.365
6-Sep,2.23
6-Oct,2.393
6-Nov,3.867
6-Dec,3.965
7-Jan,2.735
7-Feb,2.515
7-Mar,2.936
7-Apr,3.267
7-May,3.15
7-Jun,3.07
7-Jul,2.755
7-Aug,2.6
7-Sep,2.674
7-Oct,2.275
7-Nov,2.263
7-Dec,2.388
8-Jan,2.805
8-Feb,2.923
8-Mar,3.04
8-Apr,3.277
8-May,3.23
8-Jun,3.07
8-Jul,2.89
8-Aug,2.47
8-Sep,2.443
8-Oct,2.418
8-Nov,2.6
8-Dec,2.25
9-Jan,3.03
9-Feb,3.113
9-Mar,3.252
9-Apr,3.333
9-May,2.985
9-Jun,2.368
9-Jul,2.17
9-Aug,2.08
9-Sep,2.46
9-Oct,1.94
9-Nov,2.253
9-Dec,2.423
10-Jan,2.67
10-Feb,2.835
10-Mar,2.97
10-Apr,3.155
10-May,3.278
10-Jun,2.88
10-Jul,2.663
10-Aug,2.365
10-Sep,2.23
10-Oct,2.393
10-Nov,2.613
10-Dec,2.85
Jan-11    5.43,
Feb-11    5.63,
Mar-11    5.80,
Apr-11    5.85,
May-11    5.72,
Jun-11    5.47,
Jul-11    5.31,
Aug-11    5.00,
Sep-11    4.85,
Oct-11    4.77,
Nov-11    4.85,
Dec-11    5.02,
Jan-12    5.16,
Feb-12    5.47,
Mar-12    5.80,
Apr-12    5.83,
May-12    5.77,
Jun-12    5.50,
Jul-12    5.18,
Aug-12    4.97,
Sep-12    4.84,
Oct-12    4.75,
Nov-12    4.84,
Dec-12    5.01,
Jan-13    5.24,
Feb-13    5.58,
Mar-13    5.92,
Apr-13    5.93,
May-13    5.85,
Jun-13    5.56,
Jul-13    5.28,
Aug-13    5.05,
Sep-13    4.87,
Oct-13    4.77,
Nov-13    4.85,
Dec-13    5.06,
Jan-14    5.31,
Feb-14    5.62,
Mar-14    5.98,
Apr-14    6.00,
May-14    5.91,
Jun-14    5.62,
Jul-14    5.34,
Aug-14    5.11,
Sep-14    4.93,
Oct-14    4.83,
Nov-14    4.92,
Dec-14    5.08,
Jan-15    5.33,
Feb-15    5.64,
Mar-15    6.00,
Apr-15    6.02,
May-15    5.93,
Jun-15    5.64,
Jul-15    5.37,
Aug-15    5.14,
Sep-15    4.96,
Oct-15    4.86,
Nov-15    4.95,
Dec-15    5.10,
Jan-16    5.35,
Feb-16    5.66,
Mar-16    6.02,
Apr-16    6.04,
May-16    5.95,
Jun-16    5.66,
Jul-16    5.38,
Aug-16    5.15,
Sep-16    4.97,
Oct-16    4.87,
Nov-16    4.96,
Dec-16    5.11,
Jan-17    5.36,
Feb-17    5.67,
Mar-17    6.03,
Apr-17    6.05,
May-17    5.96,
Jun-17    5.67,
Jul-17    5.39,
Aug-17    5.16,
Sep-17    4.98,
Oct-17    4.88,
Nov-17    4.97,
Dec-17    5.12,
Jan-18    5.37,
Feb-18    5.68,
Mar-18    6.04,
Apr-18    6.06,
May-18    5.97,
Jun-18    5.68,
Jul-18    5.40,
Aug-18    5.17,
Sep-18    4.99,
Oct-18    4.89,
Nov-18    4.98,
Dec-18    5.13,
Jan-19    5.38,
Feb-19    5.69,
Mar-19    6.05,
Apr-19    6.07,
May-19    5.98,
Jun-19    5.69,
Jul-19    5.41,
Aug-19    5.18,
Sep-19    5.00,
Oct-19    4.90,
Nov-19    4.99,
Dec-19    5.14,
Jan-20    5.39,
Feb-20    5.70,
Mar-20    6.06,
Apr-20    6.08,
May-20    5.99,
Jun-20    5.70,
Jul-20    5.42,
Aug-20    5.19,
Sep-20    5.01,
Oct-20    4.91,
Nov-20    5.00,
Dec-20    5.15,
Jan-21    5.40,
Feb-21    5.71,
Mar-21    6.07,
Apr-21    6.09,
May-21    6.00,
Jun-21    5.71,
Jul-21    5.43,
Aug-21    5.20,
Sep-21    5.02,
Oct-21    4.92,
Nov-21    5.01,
Dec-21    5.16,
Jan-22    5.41,
Feb-22    5.72,
Mar-22    6.08,
Apr-22    6.10,
May-22    6.01,
Jun-22    5.72,
Jul-22    5.44,
Aug-22    5.21,
Sep-22    5.03,
Oct-22    4.93,
Nov-22    5.02,
Dec-22    5.17,
Jan-23    5.42,
Feb-23    5.73,
Mar-23    6.09,
Apr-23    6.11,
May-23    6.02,
Jun-23    5.73,
Jul-23    5.45,
Aug-23    5.22,
Sep-23    5.04,
Oct-23    4.94,
Nov-23    5.03,
Dec-23    5.18,
Jan-24    5.43,
Feb-24    5.74,
Mar-24    6.10,
Apr-24    6.12,
May-24    6.03,
Jun-24    5.74,
Jul-24    5.46,
Aug-24    5.23,
Sep-24    5.05,
Oct-24    4.95,
Nov-24    5.04,
Dec-24    5.19,
