Year,Water_level
Jan-80,3.285
Feb-80,3.52
Mar-80,3.914
Apr-80,4.33
May-80,2.263
Jun-80,1.93
Jul-80,1.677
Aug-80,1.675
Sep-80,1.73
Oct-80,1.42
Nov-80,1.81
Dec-80,2.095
Jan-81,2.853
Feb-81,3.283
Mar-81,3.812
Apr-81,2.905
May-81,2.613
Jun-81,1.972
Jul-81,1.737
Aug-81,1.56
Sep-81,1.55
Oct-81,2.17
Nov-81,2.38
Dec-81,3.2
Jan-82,3.583
Feb-82,3.87
Mar-82,3.048
Apr-82,3.563
May-82,2.608
Jun-82,1.828
Jul-82,1.365
Aug-82,1.498
Sep-82,1.79
Oct-82,2.04
Nov-82,2.96
Dec-82,3.167
Jan-83,3.538
Feb-83,3.848
Mar-83,4.01
Apr-83,4.105
May-83,2.55
Jun-83,2.388
Jul-83,1.63
Aug-83,1.638
Sep-83,1.627
Oct-83,2.093
Nov-83,2.38
Dec-83,3.258
Jan-84,3.52
Feb-84,3.425
Mar-84,3.29
Apr-84,2.902
May-84,2.003
Jun-84,1.353
Jul-84,1.592
Aug-84,1.795
Sep-84,1.883
Oct-84,2.12
Nov-84,2.54
Dec-84,2.85
Jan-85,3.83
Feb-85,3.923
Mar-85,4.168
Apr-85,3.658
May-85,3.125
Jun-85,2.26
Jul-85,1.758
Aug-85,1.887
Sep-85,1.85
Oct-85,2.373
Nov-85,2.873
Dec-85,3.433
Jan-86,3.578
Feb-86,4.043
Mar-86,4.16
Apr-86,4.41
May-86,4.35
Jun-86,3.923
Jul-86,2.963
Aug-86,1.813
Sep-86,1.914
Oct-86,2.403
Nov-86,2.915
Dec-86,3.494
Jan-87,3.685
Feb-87,3.817
Mar-87,4.634
Apr-87,3.823
May-87,3.127
Jun-87,2.698
Jul-87,1.845
Aug-87,1.68
Sep-87,2.258
Oct-87,2.598
Nov-87,3.323
Dec-87,4.093
Jan-88,4.023
Feb-88,4.448
Mar-88,4.537
Apr-88,4.92
May-88,3.253
Jun-88,2.475
Jul-88,1.795
Aug-88,1.73
Sep-88,1.8
Oct-88,2.79
Nov-88,2.94
Dec-88,3.615
Jan-89,4.072
Feb-89,4.383
Mar-89,4.73
Apr-89,4.817
May-89,3.758
Jun-89,2.655
Jul-89,1.916
Aug-89,2.053
Sep-89,1.397
Oct-89,2.08
Nov-89,2.94
Dec-89,3.615
Jan-90,3.608
Feb-90,3.763
Mar-90,3.83
Apr-90,3.318
May-90,2.257
Jun-90,2.223
Jul-90,2.18
Aug-90,1.805
Sep-90,1.538
Oct-90,2.295
Nov-90,2.743
Dec-90,3.253
Jan-91,3.558
Feb-91,3.873
