Year,Water_level
Jan-80,4.28
Feb-80,4.59
Mar-80,4.538
Apr-80,4.577
May-80,4.25
Jun-80,4.02
Jul-80,3.595
Aug-80,3.4
Sep-80,3.29
Oct-80,3.55
Nov-80,3.735
Dec-80,3.728
Jan-81,3.985
Feb-81,4.195
Mar-81,4.305
Apr-81,4.363
May-81,4.19
Jun-81,3.94
Jul-81,3.508
Aug-81,3.243
Sep-81,2.968
Oct-81,3.365
Nov-81,3.63
Dec-81,3.907
Jan-82,4.183
Feb-82,4.355
Mar-82,4.498
Apr-82,4.397
May-82,4.12
Jun-82,4.093
Jul-82,3.203
Aug-82,3.368
Sep-82,3.473
Oct-82,3.47
Nov-82,3.823
Dec-82,3.97
Jan-83,4.225
Feb-83,4.438
Mar-83,4.49
Apr-83,4.185
May-83,3.983
Jun-83,3.913
Jul-83,3.393
Aug-83,3.015
Sep-83,2.94
Oct-83,3.08
Nov-83,3.285
Dec-83,3.575
Jan-84,3.79
Feb-84,4.058
Mar-84,4.253
Apr-84,4.355
May-84,3.35
Jun-84,3.237
Jul-84,3.288
Aug-84,3.375
Sep-84,3.043
Oct-84,3.265
Nov-84,3.533
Dec-84,3.8
Jan-85,4.01
Feb-85,4.19
Mar-85,4.31
Apr-85,4.03
May-85,4.09
Jun-85,3.195
Jul-85,3.193
Aug-85,3.12
Sep-85,3.007
Oct-85,3.068
Nov-85,3.5
Dec-85,3.752
Jan-86,4
Feb-86,4.248
Mar-86,4.298
Apr-86,4.515
May-86,4.383
Jun-86,4.31
Jul-86,3.948
Aug-86,3.733
Sep-86,3.61
Oct-86,3.215
Nov-86,3.55
Dec-86,3.83
Jan-87,4.055
Feb-87,4.225
Mar-87,4.372
Apr-87,4.32
May-87,2.775
Jun-87,3.33
Jul-87,3.47
Aug-87,3.232
Sep-87,2.765
Oct-87,3.195
Nov-87,3.46
Dec-87,3.68
Jan-88,3.983
Feb-88,4.177
Mar-88,4.317
Apr-88,4.41
May-88,4.17
Jun-88,3.37
Jul-88,3.375
Aug-88,3.12
Sep-88,2.94
Oct-88,3.068
Nov-88,3.22
Dec-88,3.54
Jan-89,3.834
Feb-89,4.033
Mar-89,4.227
Apr-89,4.295
May-89,3.945
Jun-89,3.64
Jul-89,3.133
Aug-89,2.737
Sep-89,2.915
Oct-89,2.855
Nov-89,3.183
Dec-89,3.55
Jan-90,3.758
Feb-90,3.313
Mar-90,4.12
Apr-90,4.025
May-90,3.78
Jun-90,3.385
Jul-90,2.975
Aug-90,2.627
Sep-90,2.853
Oct-90,2.59
Nov-90,3.08
Dec-90,3.203
Jan-91,3.723
Feb-91,3.95
Mar-91,4.11
Apr-91,4.21
May-91,3.887
Jun-91,3.22
Jul-91,2.878
Aug-91,2.79
Sep-91,2.753
Oct-91,2.58
Nov-91,3.08
Dec-91,3.348
Jan-92,3.598
Feb-92,3.838
Mar-92,3.97
Apr-92,4.06
May-92,3.35
Jun-92,3.63
Jul-92,3.263
Aug-92,3.26
Sep-92,2.95
Oct-92,3.1
Nov-92,3.395
Dec-92,3.575
Jan-93,3.84
Feb-93,3.997
Mar-93,3.907
Apr-93,3.995
May-93,3.476
Jun-93,4
Jul-93,2.878
Aug-93,2.79
Sep-93,2.753
Oct-93,2.58
Nov-93,3.08
Dec-93,3.348
Jan-94,3.34
Feb-94,4.173
Mar-94,4.405
Apr-94,4.58
May-94,4.54
Jun-94,4.09
Jul-94,3.868
Aug-94,3.625
Sep-94,3.76
Oct-94,3.64
Nov-94,4.017
Dec-94,4.225
Jan-95,4.48
Feb-95,4.693
Mar-95,4.84
Apr-95,4.94
May-95,4.75
Jun-95,4.27
Jul-95,4.066
Aug-95,3.89
Sep-95,3.568
Oct-95,3.88
Nov-95,4.063
Dec-95,4.28
Jan-96,4.34
Feb-96,4.593
Mar-96,4.568
Apr-96,4.573
May-96,4.073
Jun-96,4.048
Jul-96,3.698
Aug-96,3.603
Sep-96,3.473
Oct-96,3.55
Nov-96,3.82
Dec-96,4.11
Jan-97,4.568
Feb-97,4.565
Mar-97,4.755
Apr-97,4.873
May-97,4.91
Jun-97,4.53
Jul-97,4.073
Aug-97,3.968
Sep-97,3.766
Oct-97,3.575
Nov-97,4.135
Dec-97,4.365
Jan-98,4.594
Feb-98,4.71
Mar-98,4.82
Apr-98,4.805
May-98,4.52
Jun-98,4.182
Jul-98,3.73
Aug-98,3.456
Sep-98,3.68
Oct-98,3.68
Nov-98,4.127
Dec-98,4.418
Jan-99,4.668
Feb-99,4.843
Mar-99,4.965
Apr-99,4.79
May-99,4.68
Jun-99,4.41
Jul-99,4.4
Aug-99,3.82
Sep-99,3.825
Oct-99,3.918
Nov-99,3.554
Dec-99,3.67
Jan-00,3.93
Feb-00,4.198
Mar-00,4.783
Apr-00,4.51
May-00,4.267
Jun-00,4.16
Jul-00,4.01
Aug-00,3.96
Sep-00,3.645
Oct-00,3.435
Nov-00,3.55
Dec-00,3.91
1-Jan,3.988
1-Feb,4.173
1-Mar,4.405
1-Apr,4.58
1-May,4.54
1-Jun,3.745
1-Jul,3.656
1-Aug,3.348
1-Sep,3.585
1-Oct,3.79
1-Nov,3.89
1-Dec,4.083
2-Jan,4.5
2-Feb,4.713
2-Mar,4.803
2-Apr,4.915
2-May,4.52
2-Jun,4.265
2-Jul,3.956
2-Aug,3.463
2-Sep,3.802
2-Oct,3.895
2-Nov,4.285
2-Dec,4.297
3-Jan,4.518
3-Feb,4.688
3-Mar,4.844
3-Apr,4.94
3-May,4.8
3-Jun,4.423
3-Jul,3.877
3-Aug,3.845
3-Sep,3.93
3-Oct,3.745
3-Nov,3.903
3-Dec,4.256
4-Jan,4.45
4-Feb,4.64
4-Mar,4.896
4-Apr,4.038
4-May,4.12
4-Jun,4.09
4-Jul,3.97
4-Aug,3.727
4-Sep,3.39
4-Oct,3.53
4-Nov,3.68
4-Dec,4.238
5-Jan,4.438
5-Feb,4.625
5-Mar,4.693
5-Apr,4.67
5-May,4.58
5-Jun,4.41
5-Jul,4.01
5-Aug,3.798
5-Sep,3.87
5-Oct,3.877
5-Nov,3.965
5-Dec,4.14
6-Jan,4.472
6-Feb,4.728
6-Mar,4.833
6-Apr,4.993
6-May,4.758
6-Jun,3.53
6-Jul,4.314
6-Aug,4.105
6-Sep,4.083
6-Oct,4.235
6-Nov,4.387
6-Dec,4.635
7-Jan,4.9
7-Feb,5.035
7-Mar,5.133
7-Apr,5.215
7-May,5.085
7-Jun,4.04
7-Jul,4.48
7-Aug,4.56
7-Sep,3.31
7-Oct,3.962
7-Nov,4.248
7-Dec,4.243
8-Jan,4.458
8-Feb,4.625
8-Mar,4.774
8-Apr,4.82
8-May,4.868
8-Jun,4.666
8-Jul,4.33
8-Aug,3.968
8-Sep,3.556
8-Oct,3.858
8-Nov,4.018
8-Dec,4.38
9-Jan,4.7
9-Feb,4.773
9-Mar,4.95
9-Apr,4.975
9-May,4.97
9-Jun,4.747
9-Jul,4.443
9-Aug,3.978
9-Sep,4.143
9-Oct,4.12
9-Nov,4.32
9-Dec,4.58
10-Jan,4.855
10-Feb,4.985
10-Mar,5.06
10-Apr,4.713
10-May,4.19
10-Jun,3.598
10-Jul,3.75
10-Aug,3.468
10-Sep,3.13
10-Oct,3.52
10-Nov,3.985
10-Dec,4.24
Jan-11    5.43,
Feb-11    5.63,
Mar-11    5.80,
Apr-11    5.85,
May-11    5.72,
Jun-11    5.47,
Jul-11    5.31,
Aug-11    5.00,
Sep-11    4.85,
Oct-11    4.77,
Nov-11    4.85,
Dec-11    5.02,
Jan-12    5.16,
Feb-12    5.47,
Mar-12    5.80,
Apr-12    5.83,
May-12    5.77,
Jun-12    5.50,
Jul-12    5.18,
Aug-12    4.97,
Sep-12    4.84,
Oct-12    4.75,
Nov-12    4.84,
Dec-12    5.01,
Jan-13    5.24,
Feb-13    5.58,
Mar-13    5.92,
Apr-13    5.93,
May-13    5.85,
Jun-13    5.56,
Jul-13    5.28,
Aug-13    5.05,
Sep-13    4.87,
Oct-13    4.77,
Nov-13    4.85,
Dec-13    5.06,
Jan-14    5.31,
Feb-14    5.62,
Mar-14    5.98,
Apr-14    6.00,
May-14    5.91,
Jun-14    5.62,
Jul-14    5.34,
Aug-14    5.11,
Sep-14    4.93,
Oct-14    4.83,
Nov-14    4.92,
Dec-14    5.08,
Jan-15    5.33,
Feb-15    5.64,
Mar-15    6.00,
Apr-15    6.02,
May-15    5.93,
Jun-15    5.64,
Jul-15    5.37,
Aug-15    5.14,
Sep-15    4.96,
Oct-15    4.86,
Nov-15    4.95,
Dec-15    5.10,
Jan-16    5.35,
Feb-16    5.66,
Mar-16    6.02,
Apr-16    6.04,
May-16    5.95,
Jun-16    5.66,
Jul-16    5.38,
Aug-16    5.15,
Sep-16    4.97,
Oct-16    4.87,
Nov-16    4.96,
Dec-16    5.11,
Jan-17    5.36,
Feb-17    5.67,
Mar-17    6.03,
Apr-17    6.05,
May-17    5.96,
Jun-17    5.67,
Jul-17    5.39,
Aug-17    5.16,
Sep-17    4.98,
Oct-17    4.88,
Nov-17    4.97,
Dec-17    5.12,
Jan-18    5.37,
Feb-18    5.68,
Mar-18    6.04,
Apr-18    6.06,
May-18    5.97,
Jun-18    5.68,
Jul-18    5.40,
Aug-18    5.17,
Sep-18    4.99,
Oct-18    4.89,
Nov-18    4.98,
Dec-18    5.13,
Jan-19    5.38,
Feb-19    5.69,
Mar-19    6.05,
Apr-19    6.07,
May-19    5.98,
Jun-19    5.69,
Jul-19    5.41,
Aug-19    5.18,
Sep-19    5.00,
Oct-19    4.90,
Nov-19    4.99,
Dec-19    5.14,
Jan-20    5.39,
Feb-20    5.70,
Mar-20    6.06,
Apr-20    6.08,
May-20    5.99,
Jun-20    5.70,
Jul-20    5.42,
Aug-20    5.19,
Sep-20    5.01,
Oct-20    4.91,
Nov-20    5.00,
Dec-20    5.15,
Jan-21    5.40,
Feb-21    5.71,
Mar-21    6.07,
Apr-21    6.09,
May-21    6.00,
Jun-21    5.71,
Jul-21    5.43,
Aug-21    5.20,
Sep-21    5.02,
Oct-21    4.92,
Nov-21    5.01,
Dec-21    5.16,
Jan-22    5.41,
Feb-22    5.72,
Mar-22    6.08,
Apr-22    6.10,
May-22    6.01,
Jun-22    5.72,
Jul-22    5.44,
Aug-22    5.21,
Sep-22    5.03,
Oct-22    4.93,
Nov-22    5.02,
Dec-22    5.17,
Jan-23    5.42,
Feb-23    5.73,
Mar-23    6.09,
Apr-23    6.11,
May-23    6.02,
Jun-23    5.73,
Jul-23    5.45,
Aug-23    5.22,
Sep-23    5.04,
Oct-23    4.94,
Nov-23    5.03,
Dec-23    5.18,
Jan-24    5.43,
Feb-24    5.74,
Mar-24    6.10,
Apr-24    6.12,
May-24    6.03,
Jun-24    5.74,
Jul-24    5.46,
Aug-24    5.23,
Sep-24    5.05,
Oct-24    4.95,
Nov-24    5.04,
Dec-24    5.19,
