Year,Water_level
Jan-80,2.09
Feb-80,2.153
Mar-80,2.238
Apr-80,2.33
May-80,1.505
Jun-80,1.03
Jul-80,1
Aug-80,1.045
Sep-80,0.98
Oct-80,0.885
Nov-80,1.223
Dec-80,1.674
Jan-81,1.738
Feb-81,2.023
Mar-81,2.2
Apr-81,2.01
May-81,2.03
Jun-81,1.365
Jul-81,0.995
Aug-81,0.763
Sep-81,0.763
Oct-81,1.145
Nov-81,1.513
Dec-81,2.105
Jan-82,2.26
Feb-82,2.445
Mar-82,2.607
Apr-82,2.045
May-82,1.76
Jun-82,1.123
Jul-82,0.64
Aug-82,1.015
Sep-82,1.093
Oct-82,1.245
Nov-82,1.59
Dec-82,1.84
Jan-83,2.12
Feb-83,2.398
Mar-83,2.335
Apr-83,2.103
May-83,1.547
Jun-83,1.43
Jul-83,0.95
Aug-83,0.798
Sep-83,0.91
Oct-83,1.085
Nov-83,1.47
Dec-83,1.838
Jan-84,2.135
Feb-84,2.388
Mar-84,2.675
Apr-84,2.68
May-84,1.483
Jun-84,1.25
Jul-84,1.13
Aug-84,0.978
Sep-84,0.71
Oct-84,1.007
Nov-84,1.475
Dec-84,1.755
Jan-85,2.093
Feb-85,2.213
Mar-85,2.35
Apr-85,1.75
May-85,1.54
Jun-85,0.81
Jul-85,0.69
Aug-85,0.497
Sep-85,0.983
Oct-85,0.99
Nov-85,1.41
Dec-85,1.78
Jan-86,3.463
Feb-86,5.105
Mar-86,5.374
Apr-86,5.157
May-86,4.717
Jun-86,4.612
Jul-86,3.398
Aug-86,2.75
Sep-86,2.988
Oct-86,2.77
Nov-86,3.25
Dec-86,3.892
Jan-87,4.43
Feb-87,4.69
Mar-87,5.104
Apr-87,5.023
May-87,4.5
Jun-87,3.488
Jul-87,2.728
Aug-87,1.933
Sep-87,2.323
Oct-87,2.47
Nov-87,3.598
Dec-87,4.09
Jan-88,4.43
Feb-88,4.898
Mar-88,5.283
Apr-88,5.448
May-88,5.035
Jun-88,2.98
Jul-88,1.765
Aug-88,1.933
Sep-88,2.19
Oct-88,3.05
Nov-88,3.64
Dec-88,3.893
Jan-89,4.39
Feb-89,4.725
Mar-89,5.008
Apr-89,5.168
May-89,5.135
Jun-89,4.975
Jul-89,4.737
Aug-89,3.24
Sep-89,2.457
Oct-89,2.655
Nov-89,3.355
Dec-89,3.813
Jan-90,4.354
Feb-90,4.475
Mar-90,4.555
Apr-90,4.323
May-90,3.888
Jun-90,3.488
Jul-90,2.728
Aug-90,1.933
Sep-90,2.323
Oct-90,2.47
Nov-90,3.598
Dec-90,4.09
Jan-91,2.436
Feb-91,2.413
Mar-91,2.65
Apr-91,1.757
May-91,1.453
Jun-91,0.79
Jul-91,0.05
Aug-91,0.525
Sep-91,0.417
Oct-91,0.707
Nov-91,1.445
Dec-91,1.865
Jan-92,2.138
Feb-92,2.435
Mar-92,2.608
Apr-92,2.7
May-92,2.363
Jun-92,0.97
Jul-92,0.05
Aug-92,0.344
Sep-92,0.67
Oct-92,0.87
Nov-92,1.42
Dec-92,1.773
Jan-93,2.055
Feb-93,2.26
Mar-93,2.27
Apr-93,2.18
May-93,1.415
Jun-93,0.407
Jul-93,0.16
Aug-93,0.315
Sep-93,0.408
Oct-93,0.687
Nov-93,1.202
Dec-93,1.745
Jan-94,2.126
Feb-94,2.418
Mar-94,2.41
Apr-94,1.73
May-94,1.586
Jun-94,0.867
Jul-94,0.885
Aug-94,0.293
Sep-94,0.585
Oct-94,0.883
Nov-94,1.39
Dec-94,1.74
Jan-95,2.138
