Year,Water_level
1/1/1980,4.865
2/1/1980,4.813
3/1/1980,4.603
4/1/1980,3.787
5/1/1980,3.45
6/1/1980,2.976
7/1/1980,3.017
8/1/1980,3.143
9/1/1980,3.553
10/1/1980,3.46
11/1/1980,3.895
12/1/1980,4.077
1/1/1981,4.005
2/1/1981,4.438
3/1/1981,4.712
4/1/1981,3.813
5/1/1981,3.423
6/1/1981,2.93
7/1/1981,2.46
8/1/1981,2.413
9/1/1981,2.653
10/1/1981,3.09
11/1/1981,3.7
12/1/1981,4.223
1/1/1982,4.08
2/1/1982,4.313
3/1/1982,4.564
4/1/1982,4.603
5/1/1982,3.71
6/1/1982,3.347
7/1/1982,2.723
8/1/1982,2.95
9/1/1982,2.735
10/1/1982,3.343
11/1/1982,3.67
12/1/1982,3.913
1/1/1983,4.37
2/1/1983,4.44
3/1/1983,4.685
4/1/1983,4.658
5/1/1983,4.118
6/1/1983,3.298
7/1/1983,2.793
8/1/1983,2.95
9/1/1983,2.828
10/1/1983,3.387
11/1/1983,3.758
12/1/1983,3.837
1/1/1984,4.16
2/1/1984,4.408
3/1/1984,4.66
4/1/1984,4.748
5/1/1984,4.287
6/1/1984,3.713
7/1/1984,3.012
8/1/1984,3.013
9/1/1984,2.65
10/1/1984,3.16
11/1/1984,3.45
12/1/1984,3.708
1/1/1985,3.993
2/1/1985,4.258
3/1/1985,4.543
4/1/1985,4.617
5/1/1985,4.08
6/1/1985,3.358
7/1/1985,3.088
8/1/1985,3.205
9/1/1985,3.64
10/1/1985,3.94
11/1/1985,4.36
12/1/1985,3.837
1/1/1986,4.503
2/1/1986,4.565
3/1/1986,4.605
4/1/1986,4.52
5/1/1986,4.273
6/1/1986,4.03
7/1/1986,3.543
8/1/1986,3.218
9/1/1986,3.256
10/1/1986,3.383
11/1/1986,3.45
12/1/1986,3.66
1/1/1987,3.838
2/1/1987,4.16
3/1/1987,4.612
4/1/1987,4.52
5/1/1987,4.647
6/1/1987,4.096
7/1/1987,3.785
8/1/1987,3.322
9/1/1987,3.417
10/1/1987,3.557
11/1/1987,3.625
12/1/1987,3.71
1/1/1988,3.878
2/1/1988,4.004
3/1/1988,4.13
4/1/1988,4.105
5/1/1988,3.498
6/1/1988,3.05
7/1/1988,2.777
8/1/1988,2.258
9/1/1988,2.495
10/1/1988,2.612
11/1/1988,2.83
12/1/1988,3.023
1/1/1989,3.216
2/1/1989,3.34
3/1/1989,3.473
4/1/1989,3.745
5/1/1989,3.713
6/1/1989,3.3
7/1/1989,2.993
8/1/1989,2.735
9/1/1989,2.405
10/1/1989,2.244
11/1/1989,2.595
12/1/1989,2.72
1/1/1990,2.964
2/1/1990,3.353
3/1/1990,3.52
4/1/1990,3.47
5/1/1990,3.395
6/1/1990,3.158
7/1/1990,2.78
8/1/1990,2.475
9/1/1990,2.485
10/1/1990,2.54
11/1/1990,2.595
12/1/1990,2.72
1/1/1991,2.738
2/1/1991,2.787
3/1/1991,2.873
4/1/1991,3.028
5/1/1991,3.03
6/1/1991,2.973
7/1/1991,2.92
8/1/1991,2.475
9/1/1991,2.485
10/1/1991,3.09
11/1/1991,2.595
12/1/1991,3.05
1/1/1992,3.103
2/1/1992,3.238
3/1/1992,3.492
4/1/1992,3.648
5/1/1992,3.395
6/1/1992,3.193
7/1/1992,3.425
8/1/1992,3.113
9/1/1992,3.07
10/1/1992,3.07
11/1/1992,3.285
12/1/1992,3.41
1/1/1993,3.46
2/1/1993,3.568
3/1/1993,3.714
4/1/1993,3.837
5/1/1993,3.783
6/1/1993,3.197
7/1/1993,2.948
8/1/1993,2.644
9/1/1993,2.58
10/1/1993,2.54
11/1/1993,2.86
12/1/1993,3.047
1/1/1994,3.197
2/1/1994,3.318
3/1/1994,3.477
4/1/1994,3.528
5/1/1994,3.65
6/1/1994,3.773
7/1/1994,3.78
8/1/1994,3.685
9/1/1994,3.68
10/1/1994,3.74
11/1/1994,3.52
12/1/1994,3.73
1/1/1995,3.86
2/1/1995,3.927
3/1/1995,3.977
4/1/1995,4.01
5/1/1995,4.038
6/1/1995,4.13
7/1/1995,3.79
8/1/1995,3.79
9/1/1995,3.635
10/1/1995,3.467
11/1/1995,3.61
12/1/1995,3.465
1/1/1996,3.568
2/1/1996,3.775
3/1/1996,3.82
4/1/1996,3.84
5/1/1996,3.71
6/1/1996,3.588
7/1/1996,3.46
8/1/1996,3.492
9/1/1996,3.285
10/1/1996,3.4
11/1/1996,3.53
12/1/1996,3.465
1/1/1997,3.753
2/1/1997,3.873
3/1/1997,3.977
4/1/1997,3.93
5/1/1997,4.02
6/1/1997,3.548
7/1/1997,3.86
8/1/1997,3.815
9/1/1997,3.693
10/1/1997,3.423
11/1/1997,3.437
12/1/1997,3.526
1/1/1998,3.67
2/1/1998,3.8
3/1/1998,3.887
4/1/1998,3.76
5/1/1998,3.707
6/1/1998,3.508
7/1/1998,3.433
8/1/1998,3.69
9/1/1998,3.9
10/1/1998,3.815
11/1/1998,3.83
12/1/1998,3.68
1/1/1999,3.603
2/1/1999,3.52
3/1/1999,3.63
4/1/1999,3.738
5/1/1999,3.82
6/1/1999,3.93
7/1/1999,3.28
8/1/1999,2.958
9/1/1999,2.885
10/1/1999,3.07
11/1/1999,3.125
12/1/1999,3.178
1/1/2000,3.26
2/1/2000,3.335
3/1/2000,3.42
4/1/2000,3.47
5/1/2000,3.387
6/1/2000,3.733
7/1/2000,2.24
8/1/2000,3.205
9/1/2000,3.135
10/1/2000,3.1
11/1/2000,3.17
12/1/2000,3.178
1/1/2001,3.363
2/1/2001,3.478
3/1/2001,3.558
4/1/2001,3.67
5/1/2001,3.66
6/1/2001,3.535
7/1/2001,3.28
8/1/2001,3.8
9/1/2001,3.29
10/1/2001,3.193
11/1/2001,2.2
12/1/2001,2.1
1/1/2002,3.499
2/1/2002,4.11
3/1/2002,4.327
4/1/2002,4.293
5/1/2002,4.237
6/1/2002,4.16
7/1/2002,4.088
8/1/2002,3.977
9/1/2002,3.84
10/1/2002,3.803
11/1/2002,3.743
12/1/2002,3.693
1/1/2003,3.635
2/1/2003,3.48
3/1/2003,3.406
4/1/2003,3.335
5/1/2003,3.39
6/1/2003,3.635
7/1/2003,3.26
8/1/2003,3.665
9/1/2003,3.948
10/1/2003,3.815
11/1/2003,3.743
12/1/2003,3.73
1/1/2004,3.06
2/1/2004,3.5
3/1/2004,3.54
4/1/2004,3.443
5/1/2004,3.447
6/1/2004,3.425
7/1/2004,3.348
8/1/2004,3.428
9/1/2004,3.39
10/1/2004,3.815
11/1/2004,3.858
12/1/2004,3.73
1/1/2005,3.318
2/1/2005,3.52
3/1/2005,3.603
4/1/2005,3.55
5/1/2005,3.55
6/1/2005,3.548
7/1/2005,3.5
8/1/2005,3.255
9/1/2005,3.05
10/1/2005,3.07
11/1/2005,3.974
12/1/2005,3.178
1/1/2006,3.58
2/1/2006,4.053
3/1/2006,4.26
4/1/2006,4.215
5/1/2006,4.2
6/1/2006,4.107
7/1/2006,4.006
8/1/2006,3.96
9/1/2006,4.02
10/1/2006,4.06
11/1/2006,4.09
12/1/2006,3.465
1/1/2007,4.005
2/1/2007,4.037
3/1/2007,4.093
4/1/2007,4.88
5/1/2007,4.647
6/1/2007,4.179
7/1/2007,3.9
8/1/2007,3.322
9/1/2007,3.693
10/1/2007,3.84
11/1/2007,3.945
12/1/2007,5.7
1/1/2008,4.45
2/1/2008,4.367
3/1/2008,3.682
4/1/2008,4.6
5/1/2008,4.633
6/1/2008,4.25
7/1/2008,4.145
8/1/2008,3.322
9/1/2008,3.417
10/1/2008,3.557
11/1/2008,3.625
12/1/2008,3.71
1/1/2009,3.165
2/1/2009,3.208
3/1/2009,3.27
4/1/2009,3.305
5/1/2009,3.395
6/1/2009,3.39
7/1/2009,2.98
8/1/2009,2.928
9/1/2009,2.91
10/1/2009,2.54
11/1/2009,2.595
12/1/2009,3.057
1/1/2010,3.128
2/1/2010,3.177
3/1/2010,3.17
4/1/2010,3.11
5/1/2010,3.06
6/1/2010,3.025
7/1/2010,3.025
8/1/2010,2.98
9/1/2010,2.935
10/1/2010,2.54
11/1/2010,2.595
12/1/2010,2.72
1/1/2011   2.88,
2/1/2011   2.91,
3/1/2011   2.95,
4/1/2011   2.85,
5/1/2011   2.76,
6/1/2011   2.68,
7/1/2011   2.79,
8/1/2011   2.82,
9/1/2011   2.93,
10/1/2011  2.87,
11/1/2011  2.93,
12/1/2011  2.95,
1/1/2012   3.01,
2/1/2012   3.02,
3/1/2012   3.08,
4/1/2012   3.14,
5/1/2012   3.2,
6/1/2012   3.15,
7/1/2012   3.04,
8/1/2012   3.09,
9/1/2012   3.07,
10/1/2012  3.1,
11/1/2012  3.15,
12/1/2012  3.22,
1/1/2013   3.25,
2/1/2013   3.3,
3/1/2013   3.35,
4/1/2013   3.42,
5/1/2013   3.45,
6/1/2013   3.48,
7/1/2013   3.41,
8/1/2013   3.39,
9/1/2013   3.33,
10/1/2013  3.31,
11/1/2013  3.37,
12/1/2013  3.4,
1/1/2014   3.45,
2/1/2014   3.5,
3/1/2014   3.55,
4/1/2014   3.6,
5/1/2014   3.7,
6/1/2014   3.75,
7/1/2014   3.8,
8/1/2014   3.85,
9/1/2014   3.9,
10/1/2014  4.0,
11/1/2014  4.05,
12/1/2014  4.1,
1/1/2015   4.15,
2/1/2015   4.2,
3/1/2015   4.3,
4/1/2015   4.35,
5/1/2015   4.4,
6/1/2015   4.45,
7/1/2015   4.5,
