Year,Water_level
Jan-80,6.873
Feb-80,7.663
Mar-80,7.26
Apr-80,7.025
May-80,3.355
Jun-80,2.738
Jul-80,2.725
Aug-80,2.78
Sep-80,3.413
Oct-80,4.023
Nov-80,4.015
Dec-80,5.396
Jan-81,5.51
Feb-81,5.44
Mar-81,4.748
Apr-81,4.805
May-81,5.377
Jun-81,4.52
Jul-81,3.025
Aug-81,2.71
Sep-81,2.885
Oct-81,7.265
Nov-81,6.94
Dec-81,7.383
Jan-82,7.64
Feb-82,7.82
Mar-82,7.26
Apr-82,9.365
May-82,6.928
Jun-82,4.473
Jul-82,2.49
Aug-82,2.78
Sep-82,3.413
Oct-82,4.335
Nov-82,5.126
Dec-82,5.803
Jan-83,6.382
Feb-83,6.72
Mar-83,6.745
Apr-83,4.868
May-83,3.348
Jun-83,2.797
Jul-83,2.91
Aug-83,2.895
Sep-83,2.725
Oct-83,3.327
Nov-83,4.947
Dec-83,5.79
Jan-84,6.032
Feb-84,6.538
Mar-84,7.015
Apr-84,7.468
May-84,8.37
Jun-84,8.008
Jul-84,7.454
Aug-84,3.918
Sep-84,2.96
Oct-84,7.265
Nov-84,6.94
Dec-84,7.383
Jan-85,6.873
Feb-85,7.663
Mar-85,7.26
Apr-85,7.025
May-85,3.355
Jun-85,2.738
Jul-85,3.012
Aug-85,2.833
Sep-85,2.985
Oct-85,3.553
Nov-85,0.59
Dec-85,1.134
Jan-86,1.695
Feb-86,2.138
Mar-86,2.53
Apr-86,2.47
May-86,1.718
Jun-86,1.14
Jul-86,0.308
Aug-86,1.633
Sep-86,0.05
Oct-86,0.27
Nov-86,0.31
Dec-86,0.782
Jan-87,1.565
Feb-87,1.89
Mar-87,2.23
Apr-87,1.86
May-87,1.085
Jun-87,0.705
Jul-87,1.227
Aug-87,0
Sep-87,1.66
Oct-87,0.04
Nov-87,0.323
Dec-87,1
Jan-88,1.38
Feb-88,1.918
Mar-88,2.365
Apr-88,2.29
May-88,2.03
Jun-88,0.57
Jul-88,1.26
Aug-88,1.633
Sep-88,1.507
Oct-88,0.06
Nov-88,0.377
Dec-88,1.033
Jan-89,1.644
Feb-89,2.428
Mar-89,3.07
Apr-89,3.323
May-89,3.652
Jun-89,3.093
Jul-89,1.02
Aug-89,1.633
Sep-89,1.507
Oct-89,1.963
Nov-89,0.187
Dec-89,0.63
Jan-90,1.496
Feb-90,2.328
Mar-90,2.58
Apr-90,2.09
May-90,0.413
Jun-90,0
Jul-90,1.26
Aug-90,1.633
Sep-90,0.22
Oct-90,0.584
Nov-90,0.15
Dec-90,0.353
Jan-91,0.758
Feb-91,1.003
Mar-91,1.3
Apr-91,1.568
May-91,1.685
Jun-91,0.473
Jul-91,1.227
Aug-91,1.297
Sep-91,1.66
Oct-91,2.143
