Year,Water_level
1/1/1980,2.608
2/1/1980,2.818
3/1/1980,2.992
4/1/1980,2.94
5/1/1980,2.41
6/1/1980,2.013
7/1/1980,1.795
8/1/1980,1.685
9/1/1980,1.547
10/1/1980,1.83
11/1/1980,1.97
12/1/1980,2.223
1/1/1981,2.51
2/1/1981,2.683
3/1/1981,2.846
4/1/1981,2.715
5/1/1981,2.205
6/1/1981,1.953
7/1/1981,1.725
8/1/1981,1.577
9/1/1981,1.57
10/1/1981,1.83
11/1/1981,2.22
12/1/1981,2.278
1/1/1982,2.773
2/1/1982,3.003
3/1/1982,3.19
4/1/1982,3.367
5/1/1982,2.473
6/1/1982,2.135
7/1/1982,1.828
8/1/1982,1.585
9/1/1982,1.67
10/1/1982,1.78
11/1/1982,1.95
12/1/1982,2.25
1/1/1983,2.806
2/1/1983,2.5
3/1/1983,3.498
4/1/1983,1.657
5/1/1983,1.852
6/1/1983,2.635
7/1/1983,1.638
8/1/1983,1.318
9/1/1983,1.147
10/1/1983,1.663
11/1/1983,1.95
12/1/1983,2.153
1/1/1984,2.492
2/1/1984,2.685
3/1/1984,2.947
4/1/1984,3.088
5/1/1984,2.52
6/1/1984,2.215
7/1/1984,2.023
8/1/1984,2.87
9/1/1984,1.61
10/1/1984,1.707
11/1/1984,2.223
12/1/1984,2.247
1/1/1985,2.46
2/1/1985,2.573
3/1/1985,2.725
4/1/1985,2.544
5/1/1985,2.203
6/1/1985,1.783
7/1/1985,1.388
8/1/1985,1.535
9/1/1985,1.617
10/1/1985,1.74
11/1/1985,2.07
12/1/1985,2.36
1/1/1986,2.653
2/1/1986,2.8
3/1/1986,3.03
4/1/1986,3.155
5/1/1986,2.82
6/1/1986,2.545
7/1/1986,2.26
8/1/1986,2.098
9/1/1986,1.938
10/1/1986,1.788
11/1/1986,1.7
12/1/1986,2.015
1/1/1987,2.31
2/1/1987,2.535
3/1/1987,2.732
4/1/1987,2.615
5/1/1987,2.33
6/1/1987,1.993
7/1/1987,1.79
8/1/1987,1.578
9/1/1987,1.52
10/1/1987,1.47
11/1/1987,1.788
12/1/1987,2.08
1/1/1988,2.3
2/1/1988,2.596
3/1/1988,2.575
4/1/1988,2.53
5/1/1988,2.13
6/1/1988,1.85
7/1/1988,1.53
8/1/1988,1.258
9/1/1988,1.11
10/1/1988,1.493
11/1/1988,1.97
12/1/1988,2.045
1/1/1989,2.125
2/1/1989,2.323
3/1/1989,2.488
4/1/1989,2.64
5/1/1989,2.41
6/1/1989,1.98
7/1/1989,1.836
8/1/1989,1.29
9/1/1989,1.36
10/1/1989,1.42
11/1/1989,1.725
12/1/1989,2.025
1/1/1990,2.346
2/1/1990,2.593
3/1/1990,2.76
4/1/1990,2.545
5/1/1990,2.13
6/1/1990,1.9
7/1/1990,1.672
8/1/1990,1.525
9/1/1990,1.523
10/1/1990,1.47
11/1/1990,1.9
12/1/1990,2.07
1/1/1991,2.34
2/1/1991,2.473
3/1/1991,2.57
4/1/1991,2.61
5/1/1991,1.75
6/1/1991,1.227
7/1/1991,1.28
8/1/1991,1.493
9/1/1991,1.32
10/1/1991,1.615
11/1/1991,1.83
12/1/1991,2.097
1/1/1992,2.215
2/1/1992,2.29
3/1/1992,2.865
4/1/1992,2.31
5/1/1992,2
6/1/1992,1.875
7/1/1992,1.775
8/1/1992,1.633
9/1/1992,1.58
10/1/1992,1.77
11/1/1992,1.83
12/1/1992,2.135
1/1/1993,2.34
2/1/1993,2.45
3/1/1993,2.285
4/1/1993,2.22
5/1/1993,1.928
6/1/1993,1.303
7/1/1993,1.073
8/1/1993,0.97
9/1/1993,1.32
10/1/1993,1.488
11/1/1993,1.725
12/1/1993,2.09
1/1/1994,2.442
2/1/1994,2.755
3/1/1994,2.823
4/1/1994,2.45
5/1/1994,2.188
6/1/1994,1.975
7/1/1994,1.855
8/1/1994,1.754
9/1/1994,1.57
10/1/1994,1.8
11/1/1994,2.08
12/1/1994,2.417
1/1/1995,2.652
2/1/1995,2.93
3/1/1995,3.155
4/1/1995,3.147
5/1/1995,2.728
6/1/1995,2.37
7/1/1995,1.964
8/1/1995,1.725
9/1/1995,1.593
10/1/1995,1.74
11/1/1995,1.95
12/1/1995,2.097
1/1/1996,2.254
2/1/1996,2.468
3/1/1996,2.475
4/1/1996,2.255
5/1/1996,2.048
6/1/1996,1.915
7/1/1996,1.74
8/1/1996,1.62
9/1/1996,1.58
10/1/1996,1.747
11/1/1996,1.83
12/1/1996,2.23
1/1/1997,2.44
2/1/1997,2.628
3/1/1997,2.812
4/1/1997,3
5/1/1997,2.915
6/1/1997,2.266
7/1/1997,1.998
8/1/1997,1.717
9/1/1997,1.72
10/1/1997,1.77
11/1/1997,1.93
12/1/1997,2.215
1/1/1998,2.545
2/1/1998,2.73
3/1/1998,2.847
4/1/1998,2.7
5/1/1998,2.313
6/1/1998,1.91
7/1/1998,1.575
8/1/1998,1.317
9/1/1998,1.37
10/1/1998,1.687
11/1/1998,2.053
12/1/1998,2.285
1/1/1999,2.538
2/1/1999,2.77
3/1/1999,3.008
4/1/1999,3.288
5/1/1999,3.167
6/1/1999,2.515
7/1/1999,2.215
8/1/1999,1.895
9/1/1999,1.683
10/1/1999,1.705
11/1/1999,1.793
12/1/1999,2.287
1/1/2000,2.535
2/1/2000,2.71
3/1/2000,2.7
4/1/2000,2.53
5/1/2000,2.182
6/1/2000,1.73
7/1/2000,1.6
8/1/2000,1.5
9/1/2000,1.237
10/1/2000,1.455
11/1/2000,1.795
12/1/2000,1.973
1/1/2001,2.352
2/1/2001,2.63
3/1/2001,2.775
4/1/2001,2.758
5/1/2001,2.577
6/1/2001,2.015
7/1/2001,1.717
8/1/2001,1.671
9/1/2001,1.72
10/1/2001,1.73
11/1/2001,1.785
12/1/2001,2.005
1/1/2002,2.69
2/1/2002,2.417
3/1/2002,2.618
4/1/2002,2.68
5/1/2002,2.27
6/1/2002,1.793
7/1/2002,2.137
8/1/2002,1.25
9/1/2002,1.52
10/1/2002,1.59
11/1/2002,1.9
12/1/2002,1.88
1/1/2003,1.753
2/1/2003,2.42
3/1/2003,2.708
4/1/2003,2.6
5/1/2003,2.253
6/1/2003,1.978
7/1/2003,1.69
8/1/2003,1.62
9/1/2003,1.98
10/1/2003,1.72
11/1/2003,1.94
12/1/2003,2.23
1/1/2004,2.44
2/1/2004,2.697
3/1/2004,2.958
4/1/2004,2.7
5/1/2004,2.21
6/1/2004,1.983
7/1/2004,1.475
8/1/2004,1.05
9/1/2004,1.4
10/1/2004,1.5
11/1/2004,2
12/1/2004,2.4
1/1/2005,2.508
2/1/2005,2.75
3/1/2005,2.846
4/1/2005,2.3
5/1/2005,1.157
6/1/2005,1.9
7/1/2005,1.7
8/1/2005,1.577
9/1/2005,1.57
10/1/2005,1.83
11/1/2005,3.52
12/1/2005,3.643
1/1/2006,4.1
2/1/2006,3.083
3/1/2006,3.017
4/1/2006,2.8
5/1/2006,2.45
6/1/2006,1.9
7/1/2006,1.6
8/1/2006,1.585
9/1/2006,1.67
10/1/2006,1.9
11/1/2006,2.2
12/1/2006,1.95
1/1/2007,2.526
2/1/2007,3.23
3/1/2007,3.283
4/1/2007,3.1
5/1/2007,2.693
6/1/2007,2.2
7/1/2007,1.9
8/1/2007,3.295
9/1/2007,1.25
10/1/2007,1.65
11/1/2007,2.223
12/1/2007,2
1/1/2008,2.15
2/1/2008,2.35
3/1/2008,2.5
4/1/2008,2.21
5/1/2008,1.938
6/1/2008,1.85
7/1/2008,1.53
8/1/2008,1.7
9/1/2008,1.5
10/1/2008,1.657
11/1/2008,1.89
12/1/2008,2
1/1/2009,2.45
2/1/2009,2.65
3/1/2009,2.8
4/1/2009,2.743
5/1/2009,2.205
6/1/2009,2.05
7/1/2009,1.85
8/1/2009,1.7
9/1/2009,1.57
10/1/2009,1.83
11/1/2009,2.02
12/1/2009,2.25
1/1/2010,1.833
2/1/2010,2.75
3/1/2010,2.45
4/1/2010,2.7
5/1/2010,2.15
6/1/2010,1.367
7/1/2010,1.6
8/1/2010,1.5
9/1/2010,1.237
10/1/2010,1.455
11/1/2010,1.75
12/1/2010,2.15
1/1/2011,2.473
2/1/2011,2.938
3/1/2011,3.253
4/1/2011,2.542
5/1/2011,1.934
6/1/2011,1.047
7/1/2011,0.551
8/1/2011,0.845
9/1/2011,1.02
10/1/2011,1.299
11/1/2011,1.538
12/1/2011,2.037
1/1/2012,2.319
2/1/2012,2.835
3/1/2012,3.11
4/1/2012,2.503
5/1/2012,1.922
6/1/2012,1.075
7/1/2012,0.67
8/1/2012,0.812
9/1/2012,1.051
10/1/2012,1.388
11/1/2012,1.627
12/1/2012,2.129
1/1/2013,2.335
2/1/2013,2.997
3/1/2013,3.425
4/1/2013,2.713
5/1/2013,2.073
6/1/2013,1.347
7/1/2013,0.734
8/1/2013,1.035
9/1/2013,1.312
10/1/2013,1.514
11/1/2013,1.823
12/1/2013,2.24
1/1/2014,2.503
2/1/2014,2.956
3/1/2014,3.258
4/1/2014,2.638
5/1/2014,2.006
6/1/2014,1.257
7/1/2014,0.79
8/1/2014,1.015
9/1/2014,1.259
