Year,Water_level
Jan-80,2.89
Feb-80,3.018
Mar-80,2.504
Apr-80,2.005
May-80,1.557
Jun-80,1.516
Jul-80,1.628
Aug-80,1.92
Sep-80,2.134
Oct-80,2.038
Nov-80,2.608
Dec-80,2.81
Jan-81,3.23
Feb-81,3.608
Mar-81,3.4
Apr-81,2.533
May-81,2.475
Jun-81,2.44
Jul-81,2.4
Aug-81,1.662
Sep-81,2.135
Oct-81,2.71
Nov-81,2.986
Dec-81,3.175
Jan-82,3.51
Feb-82,4.153
Mar-82,4.784
Apr-82,2.28
May-82,2.282
Jun-82,2.475
Jul-82,2.21
Aug-82,2.032
Sep-82,2.03
Oct-82,2.415
Nov-82,2.85
Dec-82,3.177
Jan-83,3.262
Feb-83,3.648
Mar-83,3.657
Apr-83,3.017
May-83,2.188
Jun-83,1.85
Jul-83,1.615
Aug-83,1.967
Sep-83,2.355
Oct-83,2.353
Nov-83,2.723
Dec-83,3.087
Jan-84,3.356
Feb-84,3.09
Mar-84,3.425
Apr-84,3.07
May-84,2.215
Jun-84,1.93
Jul-84,1.823
Aug-84,1.81
Sep-84,2.443
Oct-84,3.103
Nov-84,3.445
Dec-84,3.43
Jan-85,3.61
Feb-85,3.755
Mar-85,3.945
Apr-85,3.423
May-85,1.99
Jun-85,1.585
Jul-85,1.59
Aug-85,1.807
Sep-85,1.85
Oct-85,2.3
Nov-85,3.225
Dec-85,3.425
Jan-86,3.74
Feb-86,4.098
Mar-86,4.2
Apr-86,3.86
May-86,3.503
Jun-86,2.722
Jul-86,1.835
Aug-86,1.645
Sep-86,1.723
Oct-86,2.048
Nov-86,2.425
Dec-86,2.772
Jan-87,3.3
Feb-87,3.583
Mar-87,3.216
Apr-87,3.285
May-87,3.473
Jun-87,3.22
Jul-87,3.4
Aug-87,3.58
Sep-87,3.78
Oct-87,3.9
Nov-87,4.184
Dec-87,4.298
Jan-88,4.313
Feb-88,4.26
Mar-88,4.01
Apr-88,3.687
May-88,3.1
Jun-88,3.5
Jul-88,3.843
Aug-88,3.043
Sep-88,1.773
Oct-88,2.143
Nov-88,2.493
Dec-88,2.743
Jan-89,2.954
Feb-89,3.33
Mar-89,2.725
Apr-89,2.097
May-89,2.098
Jun-89,1.883
Jul-89,1.628
Aug-89,1.65
Sep-89,1.79
Oct-89,2.475
Nov-89,2.608
Dec-89,2.768
Jan-90,3.028
Feb-90,3.273
Mar-90,3.425
Apr-90,2.86
May-90,2.543
Jun-90,2.448
Jul-90,2.118
Aug-90,2.775
Sep-90,3.65
Oct-90,3.2
Nov-90,3.36
Dec-90,3.45
Jan-91,3.52
Feb-91,3.73
Mar-91,3.637
Apr-91,3.288
May-91,3.075
Jun-91,3.038
Jul-91,2.76
Aug-91,2.32
Sep-91,1.932
Oct-91,2.213
Nov-91,2.89
Dec-91,3.298
Jan-92,3.52
Feb-92,3.833
Mar-92,4.518
Apr-92,1.913
May-92,2.467
Jun-92,2.182
Jul-92,1.068
Aug-92,1.875
Sep-92,0.86
Oct-92,1.25
Nov-92,2.383
Dec-92,2.693
Jan-93,2.85
Feb-93,2.768
Mar-93,2.986
Apr-93,2.92
May-93,1.893
Jun-93,1.625
Jul-93,1.373
Aug-93,1.475
Sep-93,1.86
Oct-93,2.035
Nov-93,2.095
Dec-93,2.318
Jan-94,2.822
Feb-94,3.15
Mar-94,3.55
Apr-94,2.65
May-94,2.463
Jun-94,0.538
Jul-94,1.4
Aug-94,3.05
Sep-94,2.05
Oct-94,2.335
Nov-94,2.25
Dec-94,2.835
Jan-95,2.984
Feb-95,3.15
Mar-95,3.23
Apr-95,2.89
May-95,1.514
Jun-95,1.035
Jul-95,1.04
Aug-95,1.225
Sep-95,1.473
Oct-95,1.883
Nov-95,2.1
Dec-95,1.97
Jan-96,2.39
Feb-96,2.925
Mar-96,2.885
Apr-96,3.125
May-96,2.675
Jun-96,2.425
Jul-96,1.638
Aug-96,3.2
Sep-96,3.65
Oct-96,3.2
Nov-96,3.535
Dec-96,3.9
Jan-97,4.088
Feb-97,4.45
Mar-97,4.15
Apr-97,4.1
May-97,3.525
Jun-97,2.468
Jul-97,2.073
Aug-97,2.838
Sep-97,3.567
Oct-97,3.915
Nov-97,4.063
Dec-97,4.34
Jan-98,4.35
Feb-98,4.05
Mar-98,3.575
Apr-98,3.45
May-98,2.5
Jun-98,1.575
Jul-98,1.975
Aug-98,2.25
Sep-98,2.355
Oct-98,2.353
Nov-98,2.723
Dec-98,3.087
Jan-11    5.43,
Feb-11    5.63,
Mar-11    5.80,
Apr-11    5.85,
May-11    5.72,
Jun-11    5.47,
Jul-11    5.31,
Aug-11    5.00,
Sep-11    4.85,
Oct-11    4.77,
Nov-11    4.85,
Dec-11    5.02,
Jan-12    5.16,
Feb-12    5.47,
Mar-12    5.80,
Apr-12    5.83,
May-12    5.77,
Jun-12    5.50,
Jul-12    5.18,
Aug-12    4.97,
Sep-12    4.84,
Oct-12    4.75,
Nov-12    4.84,
Dec-12    5.01,
Jan-13    5.24,
Feb-13    5.58,
Mar-13    5.92,
Apr-13    5.93,
May-13    5.85,
Jun-13    5.56,
Jul-13    5.28,
Aug-13    5.05,
Sep-13    4.87,
Oct-13    4.77,
Nov-13    4.85,
Dec-13    5.06,
Jan-14    5.31,
Feb-14    5.62,
Mar-14    5.98,
Apr-14    6.00,
May-14    5.91,
Jun-14    5.62,
Jul-14    5.34,
Aug-14    5.11,
Sep-14    4.93,
Oct-14    4.83,
Nov-14    4.92,
Dec-14    5.08,
Jan-15    5.33,
Feb-15    5.64,
Mar-15    6.00,
Apr-15    6.02,
May-15    5.93,
Jun-15    5.64,
Jul-15    5.37,
Aug-15    5.14,
Sep-15    4.96,
Oct-15    4.86,
Nov-15    4.95,
Dec-15    5.10,
Jan-16    5.35,
Feb-16    5.66,
Mar-16    6.02,
Apr-16    6.04,
May-16    5.95,
Jun-16    5.66,
Jul-16    5.38,
Aug-16    5.15,
Sep-16    4.97,
Oct-16    4.87,
Nov-16    4.96,
Dec-16    5.11,
Jan-17    5.36,
Feb-17    5.67,
Mar-17    6.03,
Apr-17    6.05,
May-17    5.96,
Jun-17    5.67,
Jul-17    5.39,
Aug-17    5.16,
Sep-17    4.98,
Oct-17    4.88,
Nov-17    4.97,
Dec-17    5.12,
Jan-18    5.37,
Feb-18    5.68,
Mar-18    6.04,
Apr-18    6.06,
May-18    5.97,
Jun-18    5.68,
Jul-18    5.40,
Aug-18    5.17,
Sep-18    4.99,
Oct-18    4.89,
Nov-18    4.98,
Dec-18    5.13,
Jan-19    5.38,
Feb-19    5.69,
Mar-19    6.05,
Apr-19    6.07,
May-19    5.98,
Jun-19    5.69,
Jul-19    5.41,
Aug-19    5.18,
Sep-19    5.00,
Oct-19    4.90,
Nov-19    4.99,
Dec-19    5.14,
Jan-20    5.39,
Feb-20    5.70,
Mar-20    6.06,
Apr-20    6.08,
May-20    5.99,
Jun-20    5.70,
Jul-20    5.42,
Aug-20    5.19,
Sep-20    5.01,
Oct-20    4.91,
Nov-20    5.00,
Dec-20    5.15,
Jan-21    5.40,
Feb-21    5.71,
Mar-21    6.07,
Apr-21    6.09,
May-21    6.00,
Jun-21    5.71,
Jul-21    5.43,
Aug-21    5.20,
Sep-21    5.02,
Oct-21    4.92,
Nov-21    5.01,
Dec-21    5.16,
Jan-22    5.41,
Feb-22    5.72,
Mar-22    6.08,
Apr-22    6.10,
May-22    6.01,
Jun-22    5.72,
Jul-22    5.44,
Aug-22    5.21,
Sep-22    5.03,
Oct-22    4.93,
Nov-22    5.02,
Dec-22    5.17,
Jan-23    5.42,
Feb-23    5.73,
Mar-23    6.09,
Apr-23    6.11,
May-23    6.02,
Jun-23    5.73,
Jul-23    5.45,
Aug-23    5.22,
Sep-23    5.04,
Oct-23    4.94,
Nov-23    5.03,
Dec-23    5.18,
Jan-24    5.43,
Feb-24    5.74,
Mar-24    6.10,
Apr-24    6.12,
May-24    6.03,
Jun-24    5.74,
Jul-24    5.46,
Aug-24    5.23,
Sep-24    5.05,
Oct-24    4.95,
Nov-24    5.04,
Dec-24    5.19,
