Year,Water_level
Jan-80,2.28
Feb-80,2.42
Mar-80,2.19
Apr-80,2.213
May-80,1.5
Jun-80,1.138
Jul-80,1.335
Aug-80,1.44
Sep-80,1.555
Oct-80,1.37
Nov-80,1.77
Dec-80,2.05
Jan-81,2.15
Feb-81,2.237
Mar-81,2.335
Apr-81,1.888
May-81,1.64
Jun-81,1.54
Jul-81,1.44
Aug-81,1.435
Sep-81,1.337
Oct-81,1.715
Nov-81,2.013
Dec-81,2.315
Jan-82,2.325
Feb-82,2.43
Mar-82,2.56
Apr-82,1.75
May-82,1.47
Jun-82,1.423
Jul-82,0.935
Aug-82,1.033
Sep-82,1.635
Oct-82,1.78
Nov-82,1.94
Dec-82,2.12
Jan-83,2.232
Feb-83,2.368
Mar-83,2.15
Apr-83,1.865
May-83,1.322
Jun-83,1.41
Jul-83,0.923
Aug-83,0.587
Sep-83,0.908
Oct-83,1.527
Nov-83,1.88
Dec-83,2.08
Jan-84,2.516
Feb-84,2.35
Mar-84,2.455
Apr-84,2.638
May-84,1.093
Jun-84,1.33
Jul-84,1.477
Aug-84,1.525
Sep-84,1.405
Oct-84,1.617
Nov-84,1.963
Dec-84,1.54
Jan-85,2.545
Feb-85,2.73
Mar-85,2.427
Apr-85,1.68
May-85,1.747
Jun-85,0.923
Jul-85,0.69
Aug-85,1.177
Sep-85,0.638
Oct-85,1.057
Nov-85,1.45
Dec-85,2.08
Jan-86,4.355
Feb-86,4.49
Mar-86,4.673
Apr-86,4.428
May-86,4.078
Jun-86,4.088
Jul-86,3.553
Aug-86,3.318
Sep-86,3.183
Oct-86,2.763
Nov-86,3.46
Dec-86,3.838
Jan-87,4.108
Feb-87,4.3
Mar-87,4.407
Apr-87,3.895
May-87,3.553
Jun-87,3.058
Jul-87,2.853
Aug-87,2.778
Sep-87,3.21
Oct-87,3.28
Nov-87,3.73
Dec-87,3.995
Jan-88,4.215
Feb-88,4.444
Mar-88,4.425
Apr-88,4.965
May-88,3.334
Jun-88,2.735
Jul-88,2.377
Aug-88,3.583
Sep-88,3.72
Oct-88,3.577
Nov-88,3.308
Dec-88,3.09
Jan-89,3.095
Feb-89,3.065
Mar-89,3.05
Apr-89,3.035
May-89,3.015
Jun-89,3.223
Jul-89,2.473
Aug-89,3.12
Sep-89,3.13
Oct-89,3.12
Nov-89,3.653
Dec-89,4.01
Jan-90,3.085
Feb-90,3.045
Mar-90,3.015
Apr-90,4.215
May-90,3.623
Jun-90,3.223
Jul-90,2.473
Aug-90,3.115
Sep-90,3.04
Oct-90,3.163
Nov-90,3.653
Dec-90,4.01
Jan-91,3.05
Feb-91,4.363
Mar-91,3.03
Apr-91,3.9
May-91,4.05
Jun-91,4.08
Jul-91,3.997
Aug-91,3.845
Sep-91,3.738
Oct-91,3.575
Nov-91,3.465
Dec-91,3.885
Jan-92,2.983
Feb-92,4.075
Mar-92,4.258
Apr-92,4.215
May-92,3.623
Jun-92,3.223
Jul-92,2.473
Aug-92,3.12
Sep-92,3.04
Oct-92,3.4
Nov-92,3.653
Dec-92,4.01
Jan-93,4.13
Feb-93,4.193
Mar-93,4.063
Apr-93,4.047
May-93,2.928
Jun-93,2.397
Jul-93,2.547
Aug-93,2.453
Sep-93,2.903
Oct-93,3.205
Nov-93,3.644
Dec-93,3.9
Jan-94,4.21
Feb-94,4.363
Mar-94,4.247
Apr-94,3.588
May-94,3.597
Jun-94,3.223
Jul-94,3.115
Aug-94,3.19
Sep-94,3.31
Oct-94,3.573
Nov-94,3.873
Dec-94,4.075
Jan-95,4.308
Feb-95,4.47
Mar-95,4.635
Apr-95,4.52
May-95,4.304
Jun-95,3.603
Jul-95,3.052
Aug-95,2.56
Sep-95,2.68
Oct-95,3.2
Nov-95,3.65
Dec-95,3.87
Jan-96,4.18
Feb-96,4.36
Mar-96,4.215
Apr-96,3.843
May-96,3.323
Jun-96,2.917
Jul-96,2.787
Aug-96,2.82
Sep-96,3.4
