Year,Water_level
Jan-80,2.96
Feb-80,3.125
Mar-80,3.296
Apr-80,3.163
May-80,2.418
Jun-80,1.598
Jul-80,0.75
Aug-80,1.155
Sep-80,1.26
Oct-80,1.313
Nov-80,1.598
Dec-80,1.878
Jan-81,2.078
Feb-81,2.56
Mar-81,2.878
Apr-81,2.94
May-81,2.413
Jun-81,1.516
Jul-81,0.96
Aug-81,0.887
Sep-81,1.07
Oct-81,1.24
Nov-81,1.947
Dec-81,3.135
Jan-82,3.328
Feb-82,3.51
Mar-82,3.658
Apr-82,3.183
May-82,1.75
Jun-82,1.308
Jul-82,0.667
Aug-82,0.6
Sep-82,1.013
Oct-82,1.268
Nov-82,1.533
Dec-82,1.78
Jan-83,1.978
Feb-83,2.153
Mar-83,2.18
Apr-83,1.84
May-83,1.323
Jun-83,0.995
Jul-83,0.638
Aug-83,0.66
Sep-83,0.38
Oct-83,0.745
Nov-83,1.095
Dec-83,1.55
Jan-84,1.972
Feb-84,2.33
Mar-84,2.488
Apr-84,2.627
May-84,1.32
Jun-84,0.897
Jul-84,0.657
Aug-84,1.318
Sep-84,1.105
Oct-84,0.95
Nov-84,1.663
Dec-84,1.71
Jan-85,1.78
Feb-85,2.05
Mar-85,1.393
Apr-85,1.13
May-85,1.327
Jun-85,0.783
Jul-85,0.657
Aug-85,1.33
Sep-85,1.045
Oct-85,1.393
Nov-85,1.715
Dec-85,1.71
Jan-86,2.123
Feb-86,2.315
Mar-86,2.78
Apr-86,2.407
May-86,1.687
Jun-86,1.545
Jul-86,1.085
Aug-86,0.495
Sep-86,0.428
Oct-86,0.46
Nov-86,0.595
Dec-86,0.982
Jan-87,1.453
Feb-87,1.935
Mar-87,2.376
Apr-87,2.39
May-87,1.45
Jun-87,0.578
Jul-87,0.33
Aug-87,0.395
Sep-87,0.668
Oct-87,0.723
Nov-87,0.96
Dec-87,1.105
Jan-88,1.963
Feb-88,2.184
Mar-88,2.393
Apr-88,2.478
May-88,2.338
Jun-88,1.138
Jul-88,1.685
Aug-88,0.247
Sep-88,0.24
Oct-88,0.523
Nov-88,1.015
Dec-88,1.175
Jan-89,1.58
Feb-89,1.873
Mar-89,2.21
Apr-89,1.977
May-89,1.096
Jun-89,0.385
Jul-89,0.228
Aug-89,0.283
Sep-89,0.37
Oct-89,0.62
Nov-89,0.98
Dec-89,1.105
Jan-90,1.492
Feb-90,1.673
Mar-90,1.885
Apr-90,1.688
May-90,1.138
Jun-90,2.315
Jul-90,1.654
Aug-90,0.293
Sep-90,0.508
Oct-90,0.563
Nov-90,0.753
Dec-90,1.152
Jan-91,1.735
Feb-91,1.955
Mar-91,2.418
Apr-91,2.443
May-91,0.755
Jun-91,0.24
Jul-91,0.4
Aug-91,0.433
Sep-91,0.438
Oct-91,0.62
Nov-91,1.218
Dec-91,1.522
Jan-92,1.818
Feb-92,2.04
Mar-92,2.21
Apr-92,1.977
May-92,1.096
Jun-92,0.385
Jul-92,0.09
Aug-92,0.183
Sep-92,0.44
Oct-92,0.675
Nov-92,0.976
Dec-92,1.438
Jan-93,1.773
Feb-93,2.1
Mar-93,1.684
Apr-93,1.483
May-93,0.864
Jun-93,0.23
Jul-93,0.108
Aug-93,0.525
Sep-93,0.633
Oct-93,0.807
Nov-93,1.318
Dec-93,1.903
Jan-94,2.304
Feb-94,2.34
Mar-94,2.36
Apr-94,1.485
May-94,0.778
Jun-94,0.493
Jul-94,0.255
Aug-94,0.413
Sep-94,0.697
Oct-94,0.92
Nov-94,1.338
Dec-94,1.643
Jan-95,2.162
Feb-95,2.53
Mar-95,2.73
Apr-95,2.69
May-95,2.663
Jun-95,1.94
Jul-95,1.456
Aug-95,0.795
Sep-95,0.438
Oct-95,0.776
Nov-95,1.155
Dec-95,1.413
Jan-96,2.044
Feb-96,2.29
Mar-96,2.265
Apr-96,1.744
May-96,0.823
Jun-96,0.338
Jul-96,0.073
Aug-96,0.198
Sep-96,0.3
Oct-96,0.62
Nov-96,0.98
Dec-96,1.105
Jan-97,3.328
Feb-97,3.51
Mar-97,3.658
Apr-97,3.183
May-97,1.75
Jun-97,1.308
Jul-97,0.667
Aug-97,0.6
Sep-97,0.91
Oct-97,1.233
Nov-97,1.508
Dec-97,1.894
Jan-98,2.225
Feb-98,2.588
Mar-98,2.796
Apr-98,1.883
May-98,1.52
Jun-98,2.388
Jul-98,3.088
Aug-98,2.743
Sep-98,2.033
Oct-98,0.735
Nov-98,1.185
Dec-98,1.715
Jan-99,1.91
Feb-99,2.248
Mar-99,2.524
Apr-99,2.745
May-99,2.625
Jun-99,1.638
Jul-99,0.545
Aug-99,0.343
Sep-99,0.537
Oct-99,0.95
Nov-99,1.36
Dec-99,1.683
Jan-00,1.956
Feb-00,2.168
Mar-00,1.99
Apr-00,1.778
May-00,0.598
Jun-00,0.41
Jul-00,0.71
Aug-00,0.63
Sep-00,0.445
Oct-00,1.052
Nov-00,1.57
Dec-00,1.793
1-Jan,2.032
1-Feb,2.27
1-Mar,2.708
1-Apr,2.43
1-May,1.578
1-Jun,0.905
1-Jul,0.418
1-Aug,0.377
1-Sep,0.75
1-Oct,1.39
1-Nov,1.19
1-Dec,1.748
2-Jan,2.235
2-Feb,2.543
2-Mar,2.708
2-Apr,2.21
2-May,1.103
2-Jun,0.663
2-Jul,0.068
2-Aug,0.27
2-Sep,0.687
2-Oct,0.985
2-Nov,1.338
2-Dec,1.69
3-Jan,1.975
3-Feb,2.403
3-Mar,2.766
3-Apr,2.383
3-May,1.548
3-Jun,1.163
3-Jul,0.565
3-Aug,0.815
3-Sep,0.89
3-Oct,0.94
3-Nov,1.248
3-Dec,1.636
4-Jan,1.943
4-Feb,2.525
4-Mar,2.844
4-Apr,1.628
4-May,0.87
4-Jun,0.385
4-Jul,0.32
4-Aug,0.72
4-Sep,0.593
4-Oct,0.817
4-Nov,1.652
4-Dec,1.98
5-Jan,2.61
5-Feb,3.013
5-Mar,2.683
5-Apr,1.748
5-May,1.586
5-Jun,1.817
5-Jul,1.1
5-Aug,0.313
5-Sep,0.77
5-Oct,0.945
5-Nov,1.355
5-Dec,1.57
6-Jan,2.088
6-Feb,2.7
6-Mar,2.95
6-Apr,3.4
6-May,1.69
6-Jun,2.225
6-Jul,0.682
6-Aug,1.063
6-Sep,1.215
6-Oct,1.507
6-Nov,1.947
6-Dec,3.135
7-Jan,3.085
7-Feb,3.388
7-Mar,3.758
7-Apr,4.31
7-May,3.16
7-Jun,2.038
7-Jul,1.09
7-Aug,0.35
7-Sep,1.07
7-Oct,1.78
7-Nov,1.99
7-Dec,2.28
8-Jan,2.513
8-Feb,2.758
8-Mar,3.124
8-Apr,3.453
8-May,3.46
8-Jun,1.542
8-Jul,0.217
8-Aug,0.56
8-Sep,1.678
8-Oct,2.498
8-Nov,1.697
8-Dec,2.42
9-Jan,2.545
9-Feb,8.035
9-Mar,7.79
9-Apr,6.505
9-May,2.893
9-Jun,4.47
9-Jul,4.053
9-Aug,1.63
9-Sep,3.693
9-Oct,3.02
9-Nov,5.575
9-Dec,6.423
10-Jan,8.628
