Year,Water_level
Jan-70,3.21
Feb-70,3.335
Mar-70,3.43
Apr-70,3.56
May-70,2.325
Jun-70,1.892
Jul-70,1.373
Aug-70,1.455
Sep-70,1.78
Oct-70,2.153
Nov-70,2.605
Dec-70,2.497
Jan-71,3.145
Feb-71,3.4
Mar-71,3.265
Apr-71,3.178
May-71,2.91
Jun-71,2.042
Jul-71,1.475
Aug-71,1.56
Sep-71,1.89
Oct-71,2.54
Nov-71,2.893
Dec-71,3
Jan-72,3.138
Feb-72,3.26
Mar-72,3.377
Apr-72,3.287
May-72,3.1
Jun-72,1.978
Jul-72,1.543
Aug-72,1.56
Sep-72,1.765
Oct-72,2.465
Nov-72,2.853
Dec-72,3.05
Jan-73,3.15
Feb-73,3.475
Mar-73,3.48
Apr-73,3.255
May-73,2.303
Jun-73,1.61
Jul-73,1.498
Aug-73,1.59
Sep-73,1.66
Oct-73,2.157
Nov-73,2.54
Dec-73,2.873
Jan-74,3.15
Feb-74,3.41
Mar-74,3.445
Apr-74,2.607
May-74,2.365
Jun-74,1.995
Jul-74,1.538
Aug-74,1.733
Sep-74,1.765
Oct-74,1.905
Nov-74,2.03
Dec-74,2.873
Jan-75,1.98
Feb-75,2.775
Mar-75,3.24
Apr-75,2.973
May-75,2.95
Jun-75,2.617
Jul-75,2.32
Aug-75,2.07
Sep-75,1.85
Oct-75,2.06
Nov-75,2.497
Dec-75,2.92
Jan-76,3.025
Feb-76,3.155
Mar-76,3.262
Apr-76,3.418
May-76,3.267
Jun-76,2.715
Jul-76,2.488
Aug-76,2.058
Sep-76,1.85
Oct-76,2.06
Nov-76,2.497
Dec-76,2.92
Jan-77,2.903
Feb-77,3.943
Mar-77,3.773
Apr-77,2.38
May-77,2.762
Jun-77,3.14
Jul-77,3.103
Aug-77,2.22
Sep-77,2.848
Oct-77,2.68
Nov-77,3.04
Dec-77,2.695
Jan-78,2.647
Feb-78,4.065
Mar-78,5.337
Apr-78,5.023
May-78,2.575
Jun-78,2.28
Jul-78,2.35
Aug-78,2.375
Sep-78,2.44
Oct-78,2.387
Nov-78,1.843
Dec-78,2.59
Jan-79,3
Feb-79,3.455
Mar-79,4.113
Apr-79,4.58
May-79,2.49
Jun-79,2.345
Jul-79,2.24
Aug-79,2.38
Sep-79,2.44
Oct-79,2.41
Nov-79,2.46
Dec-79,2.58
Jan-80,3.03
Feb-80,3.818
Mar-80,4.754
Apr-80,3.45
May-80,2.495
Jun-80,2.223
Jul-80,2.215
Aug-80,2.225
Sep-80,2.44
Oct-80,2.405
Nov-80,2.36
Dec-80,2.603
Jan-81,1.705
Feb-81,2.687
Mar-81,2.558
Apr-81,2.633
May-81,2.215
Jun-81,2.22
Jul-81,2.13
Aug-81,2.07
Sep-81,2.77
Oct-81,2.06
Nov-81,2.29
Dec-81,2.758
Jan-82,4.387
Feb-82,5.013
Mar-82,3.72
Apr-82,2.68
May-82,2.354
Jun-82,2.328
Jul-82,2.28
Aug-82,2.22
Sep-82,2.54
Oct-82,2.51
Nov-82,2.05
Dec-82,2.5
