Year,Water_level
1/1/1981,3.265
2/1/1981,3.28
3/1/1981,3.55
4/1/1981,2.663
5/1/1981,1.898
6/1/1981,1.31
7/1/1981,0.97
8/1/1981,0.948
9/1/1981,0.79
10/1/1981,1.413
11/1/1981,2.44
12/1/1981,2.917
1/1/1982,3.328
2/1/1982,3.67
3/1/1982,3.86
4/1/1982,2.55
5/1/1982,1.788
6/1/1982,1.233
7/1/1982,0.88
8/1/1982,0.913
9/1/1982,1.203
10/1/1982,1.777
11/1/1982,2.548
12/1/1982,2.943
1/1/1983,3.299
2/1/1983,3.687
3/1/1983,3.99
4/1/1983,3.25
5/1/1983,1.933
6/1/1983,1.609
7/1/1983,0.895
8/1/1983,1.282
9/1/1983,1.228
10/1/1983,1.644
11/1/1983,2.473
12/1/1983,2.918
1/1/1984,3.27
2/1/1984,3.703
3/1/1984,4.12
4/1/1984,3.95
5/1/1984,2.078
6/1/1984,1.985
7/1/1984,0.91
8/1/1984,1.65
9/1/1984,1.253
10/1/1984,1.51
11/1/1984,2.398
12/1/1984,2.892
1/1/1985,3.323
2/1/1985,3.733
3/1/1985,3.97
4/1/1985,2.8
5/1/1985,2.095
6/1/1985,1.105
7/1/1985,1.122
8/1/1985,1.413
9/1/1985,1.425
10/1/1985,1.963
11/1/1985,2.563
12/1/1985,3.255
1/1/1986,3.685
2/1/1986,4.058
3/1/1986,4.425
4/1/1986,3.96
5/1/1986,3.073
6/1/1986,2.937
7/1/1986,1.775
8/1/1986,1.6
9/1/1986,1.553
10/1/1986,1.573
11/1/1986,1.847
12/1/1986,2.918
1/1/1987,3.63
2/1/1987,4.125
3/1/1987,4.432
4/1/1987,3.54
5/1/1987,3.055
6/1/1987,2.042
7/1/1987,1.418
8/1/1987,1.238
9/1/1987,1.493
10/1/1987,1.785
11/1/1987,2.644
12/1/1987,3.447
1/1/1988,3.898
2/1/1988,4.36
3/1/1988,4.553
4/1/1988,4.633
5/1/1988,2.932
6/1/1988,1.878
7/1/1988,1.39
8/1/1988,1.58
9/1/1988,1.353
10/1/1988,1.89
11/1/1988,3.103
12/1/1988,3.04
1/1/1989,3.704
2/1/1989,4.45
3/1/1989,5.015
4/1/1989,5.398
5/1/1989,5.205
6/1/1989,3.258
7/1/1989,2.082
8/1/1989,1.365
9/1/1989,1.863
10/1/1989,2.017
11/1/1989,3.257
12/1/1989,4.163
1/1/1990,4.79
2/1/1990,5.41
3/1/1990,5.743
4/1/1990,4.783
5/1/1990,4.033
6/1/1990,3.59
7/1/1990,3.108
8/1/1990,2.725
9/1/1990,2.658
10/1/1990,2.508
11/1/1990,3.395
12/1/1990,4.378
1/1/1991,4.708
2/1/1991,4.903
3/1/1991,5.263
4/1/1991,4.88
5/1/1991,3.2
6/1/1991,3
7/1/1991,2.512
8/1/1991,2.588
9/1/1991,2.823
10/1/1991,2.9
11/1/1991,3.855
12/1/1991,4.488
1/1/1992,4.368
2/1/1992,3.8
3/1/1992,5.394
4/1/1992,5.415
5/1/1992,5.023
6/1/1992,4.158
7/1/1992,2.86
8/1/1992,2.539
9/1/1992,2.844
10/1/1992,3.055
11/1/1992,4.123
12/1/1992,4.775
1/1/1993,5.315
2/1/1993,5.6
3/1/1993,5.603
4/1/1993,5.55
5/1/1993,4.632
6/1/1993,4.163
7/1/1993,2.958
8/1/1993,2.49
9/1/1993,2.865
10/1/1993,3.21
11/1/1993,4.39
12/1/1993,5.067
1/1/1994,5.598
2/1/1994,5.938
3/1/1994,5.85
4/1/1994,5.075
5/1/1994,4.59
6/1/1994,3.715
7/1/1994,3.28
8/1/1994,3.28
9/1/1994,3.858
10/1/1994,4.2
11/1/1994,5.013
12/1/1994,5.465
1/1/1995,6.046
2/1/1995,6.54
3/1/1995,6.53
4/1/1995,5.89
5/1/1995,6.655
6/1/1995,5.655
7/1/1995,3.925
8/1/1995,3.495
9/1/1995,3.523
10/1/1995,3.958
11/1/1995,4.8
12/1/1995,5.465
1/1/1996,5.598
2/1/1996,6.45
3/1/1996,6.52
4/1/1996,6.328
5/1/1996,5.45
6/1/1996,4.665
