Year,Water_level
Jan-80,2.773
Feb-80,2.963
Mar-80,3.044
Apr-80,2.63
May-80,1.808
Jun-80,1.74
Jul-80,1.805
Aug-80,1.64
Sep-80,1.733
Oct-80,1.705
Nov-80,2.117
Dec-80,2.508
Jan-81,3.013
Feb-81,3.163
Mar-81,3.268
Apr-81,2.57
May-81,1.905
Jun-81,1.83
Jul-81,1.725
Aug-81,1.64
Sep-81,1.675
Oct-81,2.047
Nov-81,2.485
Dec-81,2.778
Jan-82,2.915
Feb-82,3.173
Mar-82,4.952
Apr-82,2.288
May-82,1.866
Jun-82,1.647
Jul-82,1.64
Aug-82,1.74
Sep-82,1.735
Oct-82,2.03
Nov-82,2.404
Dec-82,2.715
Jan-83,2.89
Feb-83,3.17
Mar-83,3.11
Apr-83,2.47
May-83,1.915
Jun-83,1.865
Jul-83,1.725
Aug-83,1.657
Sep-83,2.007
Oct-83,2.13
Nov-83,2.4
Dec-83,3.04
Jan-84,3.068
Feb-84,3.43
Mar-84,3.693
Apr-84,3.428
May-84,2.383
Jun-84,2.4
Jul-84,2.108
Aug-84,2.26
Sep-84,1.837
Oct-84,2.135
Nov-84,2.417
Dec-84,3.023
Jan-85,3.148
Feb-85,3.295
Mar-85,3.577
Apr-85,2.71
May-85,2.338
Jun-85,2.04
Jul-85,2.182
Aug-85,2.385
Sep-85,2.47
Oct-85,2.513
Nov-85,2.727
Dec-85,3.09
Jan-86,3.638
Feb-86,3.488
Mar-86,4.106
Apr-86,3.498
May-86,2.773
Jun-86,2.456
Jul-86,1.915
Aug-86,1.998
Sep-86,2.01
Oct-86,2.095
Nov-86,2.28
Dec-86,2.92
Jan-87,3.388
Feb-87,3.15
Mar-87,3.45
Apr-87,2.69
May-87,2.64
Jun-87,2.35
Jul-87,2.265
Aug-87,2.113
Sep-87,2.245
Oct-87,2.51
Nov-87,2.76
Dec-87,2.99
Jan-88,3.3
Feb-88,3.42
Mar-88,3.123
Apr-88,2.863
May-88,2.396
Jun-88,2.28
Jul-88,2.17
Aug-88,2.068
Sep-88,2.185
Oct-88,2.36
Nov-88,2.665
Dec-88,2.577
Jan-89,2.724
Feb-89,3.298
Mar-89,3.49
Apr-89,3.615
May-89,2.803
Jun-89,2.393
Jul-89,1.983
Aug-89,2.225
Sep-89,2.157
Oct-89,2.385
Nov-89,2.63
Dec-89,3.02
Jan-90,3.4
Feb-90,3.8
Mar-90,3.583
Apr-90,3.14
May-90,2.378
Jun-90,2.313
Jul-90,2.388
Aug-90,2.54
Sep-90,2.573
Oct-90,2.66
Nov-90,2.965
Dec-90,3.282
Jan-91,3.485
Feb-91,3.538
Mar-91,3.773
Apr-91,3.143
May-91,2.47
Jun-91,1.893
Jul-91,2.528
Aug-91,2.465
Sep-91,2.475
Oct-91,2.73
Nov-91,2.885
Dec-91,3.2
Jan-92,2.35
Feb-92,3.25
Mar-92,4.01
Apr-92,4.977
May-92,4.853
Jun-92,4.22
Jul-92,3.335
Aug-92,3.25
Sep-92,3.407
Oct-92,3.578
Nov-92,4.097
Dec-92,4.585
Jan-93,4.893
Feb-93,5.188
Mar-93,5.48
Apr-93,5.395
May-93,4.31
Jun-93,3.067
Jul-93,2.84
Aug-93,2.583
Sep-93,3.275
Oct-93,3.457
Nov-93,4.138
Dec-93,4.895
Jan-94,5.232
Feb-94,5.648
Mar-94,5.82
Apr-94,4.718
May-94,4.358
Jun-94,3.553
Jul-94,3.643
Aug-94,3.35
Sep-94,3.977
Oct-94,4.215
Nov-94,4.877
Dec-94,5.165
Jan-95,5.53
Feb-95,6.195
Mar-95,6.233
Apr-95,6.543
May-95,6.14
Jun-95,4.93
Jul-95,3.92
Aug-95,3.593
Sep-95,3.71
Oct-95,4.068
Nov-95,4.887
Dec-95,5.145
Jan-96,5.643
Feb-96,6.25
Mar-96,6.373
Apr-96,6.13
May-96,5.518
Jun-96,4.855
Jul-96,4.376
Aug-96,4.233
Sep-96,4.324
Oct-96,4.75
Nov-96,5.127
Dec-96,5.582
Jan-97,6.01
Feb-97,6.405
Mar-97,6.78
Apr-97,6.86
May-97,6.837
Jun-97,5.858
Jul-97,4.683
Aug-97,4.903
Sep-97,4.546
Oct-97,4.44
Nov-97,5.543
Dec-97,5.9
Jan-98,6.393
Feb-98,6.813
Mar-98,7.288
Apr-98,7.149
May-98,7.333
Jun-98,5.948
Jul-98,5.253
Aug-98,4.43
Sep-98,4.613
Oct-98,4.79
Nov-98,4.227
Dec-98,3.6
Jan-99,4.315
Feb-99,4.785
Mar-99,5.188
Apr-99,5.375
May-99,6.14
Jun-99,6.143
Jul-99,5.025
Aug-99,4.295
Sep-99,3.528
Oct-99,3.975
Nov-99,4.948
Dec-99,4.043
Jan-00,4.332
Feb-00,4.918
Mar-00,4.867
Apr-00,5.175
May-00,4.45
Jun-00,4.1
Jul-00,3.867
Aug-00,4.6
Sep-00,3.63
Oct-00,3.473
Nov-00,3.98
Dec-00,4.043
1-Jan,4.365
1-Feb,4.468
1-Mar,4.65
1-Apr,4.468
1-May,4.598
1-Jun,4.16
1-Jul,4.2
1-Aug,3.917
1-Sep,3.633
1-Oct,3.1
1-Nov,3.4
1-Dec,3.656
2-Jan,4.06
2-Feb,3.745
2-Mar,3.748
2-Apr,4.156
2-May,4.553
2-Jun,4.203
2-Jul,3.298
2-Aug,2.79
2-Sep,3.508
2-Oct,3.24
2-Nov,3.457
2-Dec,3.952
3-Jan,4.12
3-Feb,4.38
3-Mar,4.47
3-Apr,4.667
3-May,5.017
3-Jun,4.296
3-Jul,3.355
3-Aug,2.8
3-Sep,3.243
3-Oct,3.517
3-Nov,4.056
3-Dec,4.36
4-Jan,5.167
4-Feb,5.2
4-Mar,4.588
4-Apr,2.49
4-May,2.56
4-Jun,2.98
4-Jul,2.997
4-Aug,2.8
4-Sep,3.09
4-Oct,2.43
4-Nov,3.567
4-Dec,3.547
5-Jan,5.825
5-Feb,4.3
5-Mar,3.477
5-Apr,2.4
5-May,2.393
5-Jun,2.515
5-Jul,2.41
5-Aug,3.297
5-Sep,2.183
5-Oct,2.87
5-Nov,2.863
5-Dec,3.148
6-Jan,2.674
6-Feb,3.193
6-Mar,3.75
6-Apr,3.828
6-May,3.835
6-Jun,3.715
6-Jul,4.028
6-Aug,3.633
6-Sep,3.737
6-Oct,3.815
6-Nov,4.018
6-Dec,4.198
7-Jan,4.332
7-Feb,4.918
7-Mar,4.867
7-Apr,4.468
7-May,4.368
7-Jun,4.108
7-Jul,4.258
7-Aug,4.357
7-Sep,3.898
7-Oct,4.06
7-Nov,4.015
7-Dec,4.043
8-Jan,4.005
8-Feb,3.853
8-Mar,3.757
8-Apr,3.91
8-May,3.993
8-Jun,3.598
8-Jul,3.443
8-Aug,3.29
8-Sep,3.303
8-Oct,3.09
8-Nov,2.197
8-Dec,2.388
9-Jan,2.67
9-Feb,2.893
9-Mar,2.37
9-Apr,2.213
9-May,1.928
9-Jun,1.733
9-Jul,1.777
9-Aug,1.685
9-Sep,1.78
9-Oct,1.885
9-Nov,1.97
9-Dec,2.1
10-Jan,2.055
10-Feb,2.16
10-Mar,2.23
10-Apr,1.6
10-May,1.633
10-Jun,1.51
10-Jul,1.6
10-Aug,1.46
10-Sep,1.453
10-Oct,1.53
10-Nov,1.69
10-Dec,1.525
Jan-11    5.43,
Feb-11    5.63,
Mar-11    5.80,
Apr-11    5.85,
May-11    5.72,
Jun-11    5.47,
Jul-11    5.31,
Aug-11    5.00,
Sep-11    4.85,
Oct-11    4.77,
Nov-11    4.85,
Dec-11    5.02,
Jan-12    5.16,
Feb-12    5.47,
Mar-12    5.80,
Apr-12    5.83,
May-12    5.77,
Jun-12    5.50,
Jul-12    5.18,
Aug-12    4.97,
Sep-12    4.84,
Oct-12    4.75,
Nov-12    4.84,
Dec-12    5.01,
Jan-13    5.24,
Feb-13    5.58,
Mar-13    5.92,
Apr-13    5.93,
May-13    5.85,
Jun-13    5.56,
Jul-13    5.28,
Aug-13    5.05,
Sep-13    4.87,
Oct-13    4.77,
Nov-13    4.85,
Dec-13    5.06,
Jan-14    5.31,
Feb-14    5.62,
Mar-14    5.98,
Apr-14    6.00,
May-14    5.91,
Jun-14    5.62,
Jul-14    5.34,
Aug-14    5.11,
Sep-14    4.93,
Oct-14    4.83,
Nov-14    4.92,
Dec-14    5.08,
Jan-15    5.33,
Feb-15    5.64,
Mar-15    6.00,
Apr-15    6.02,
May-15    5.93,
Jun-15    5.64,
Jul-15    5.37,
Aug-15    5.14,
Sep-15    4.96,
Oct-15    4.86,
Nov-15    4.95,
Dec-15    5.10,
Jan-16    5.35,
Feb-16    5.66,
Mar-16    6.02,
Apr-16    6.04,
